gene,pattern,sort_key,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,imputed
G6PD,PLA-specific,-0.994,0.4382,-0.994,0.553002,0.023056,0.002836,TRUE
LAMB1,PLA-specific,-1.0697,0.4599,-1.0697,0.72517,0.041423,0.023322,TRUE
STMN1,PLA-specific,-1.0747,0.2976,-1.0747,0.809973,0.017835,0.010589,TRUE
DYNC1LI2,PLA-specific,-1.0781,0.244,-1.0781,0.852838,0.021663,0.012465,TRUE
ITGA6,PLA-specific,-1.0861,-0.051,-1.0861,0.994604,0.027179,0.105776,TRUE
CD163,PLA-specific,-1.0987,0.4357,-1.0987,0.623616,0.020869,0.004048,TRUE
PRXL2A,PLA-specific,-1.1066,-0.0192,-1.1066,0.999403,0.028588,0.117933,FALSE
CRIP1,PLA-specific,-1.1133,0.3736,-1.1133,0.761407,0.047223,0.018071,TRUE
AKR1C2,PLA-specific,-1.1381,0.1457,-1.1381,0.96458,0.025856,0.048222,TRUE
CAVIN1,PLA-specific,-1.1462,0.2006,-1.1462,0.935806,0.035045,0.045021,FALSE
CTNNA1,PLA-specific,-1.1614,0.1716,-1.1614,0.89147,4.35e-4,5.71e-4,TRUE
PSAP,PLA-specific,-1.1695,0.3554,-1.1695,0.67883,0.001641,4.9e-4,FALSE
SEC23IP,PLA-specific,-1.1708,0.2123,-1.1708,0.856912,0.012818,0.006208,TRUE
MRPL1,PLA-specific,-1.2192,-0.0743,-1.2192,0.982561,0.011146,0.039198,TRUE
CAPRIN1,PLA-specific,-1.2217,-0.6002,-1.2217,0.297048,0.005813,0.479444,TRUE
ASAH1,PLA-specific,-1.2298,-0.0268,-1.2298,0.998455,0.001081,0.017928,FALSE
RRBP1,PLA-specific,-1.2331,0.3548,-1.2331,0.84673,0.032386,0.030375,TRUE
HNRNPA3,PLA-specific,-1.2485,0.2598,-1.2485,0.864018,0.004111,0.004442,FALSE
ADH1B,PLA-specific,-1.2653,-0.0173,-1.2653,0.999627,0.031906,0.122017,FALSE
LAMA4,PLA-specific,-1.2935,0.0934,-1.2935,0.992039,0.034619,0.133159,TRUE
CNRIP1,PLA-specific,-1.3619,-0.5424,-1.3619,0.550247,0.026325,0.437061,TRUE
HMGCS2,PLA-specific,-1.3692,-0.2869,-1.3692,0.833071,0.010001,0.138293,TRUE
PEBP4,PLA-specific,-1.3867,-0.1263,-1.3867,0.95163,0.004453,0.026978,TRUE
PC,PLA-specific,-1.4101,-0.5317,-1.4101,0.628458,0.010424,0.390398,TRUE
GNAQ,PLA-specific,-1.438,0.3081,-1.438,0.822479,0.002141,0.00181,TRUE
VCAN,PLA-specific,-1.4421,0.8689,-1.4421,0.121893,0.002351,4e-6,TRUE
