pathway,pathway_label,database,NES_Cancer_vs_Healthy,NES_Training_CR,padj_Cancer_vs_Healthy,padj_Training_CR,significance,set_size
GOBP_POSITIVE_REGULATION_OF_MACROAUTOPHAGY,Positive Regulation Of Macroautophagy,GO:BP,0.857,-1.104,0.8275,0.9708,NS,29
GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION,Positive Regulation Of T Cell Proliferation,GO:BP,1.22,0.737,0.4378,1,NS,14
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,Activation Of Nmda Receptors And Postsynaptic Events,Reactome,-0.962,-0.995,0.6618,0.9839,NS,29
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,Carbohydrate Biosynthetic Process,GO:BP,0.979,-0.977,0.7165,1,NS,57
REACTOME_M_PHASE,M Phase,Reactome,-0.928,-1.028,0.7813,0.9473,NS,109
GOBP_VESICLE_BUDDING_FROM_MEMBRANE,Vesicle Budding From Membrane,GO:BP,0.997,0.958,0.6848,1,NS,32
GOBP_BIOMINERAL_TISSUE_DEVELOPMENT,Biomineral Tissue Development,GO:BP,1.342,-0.612,0.3175,1,NS,11
GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT,Organic Acid Transmembrane Transport,GO:BP,-1.064,0.89,0.5778,1,NS,27
GOBP_MITOTIC_CYTOKINESIS,Mitotic Cytokinesis,GO:BP,1.087,-0.867,0.5772,1,NS,25
GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Ubiquitin Dependent Protein Catabolic Process,GO:BP,-0.867,1.087,0.8162,0.9921,NS,21
REACTOME_REGULATION_OF_RAS_BY_GAPS,Regulation Of Ras By Gaps,Reactome,-1.326,0.627,0.1851,0.9974,NS,35
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,Negative Regulation Of Endothelial Cell Proliferation,GO:BP,1.357,0.596,0.3087,1,NS,10
GOBP_POSITIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,Positive Regulation Of Small Gtpase Mediated Signal Transduction,GO:BP,1.182,0.771,0.4761,1,NS,15
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,Transforming Growth Factor Beta Receptor Signaling Pathway,GO:BP,1.099,0.854,0.5548,1,NS,32
GOBP_REGULATION_OF_NEUROGENESIS,Regulation Of Neurogenesis,GO:BP,1.164,0.788,0.4646,1,NS,48
GOBP_NEUROMUSCULAR_JUNCTION_DEVELOPMENT,Neuromuscular Junction Development,GO:BP,-1.045,-0.907,0.6097,1,NS,13
GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE,Signal Transduction In Response To DNA Damage,GO:BP,-0.985,0.966,0.6974,1,NS,27
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,Regulation Of Myeloid Cell Differentiation,GO:BP,0.933,-1.018,0.7589,1,NS,24
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY,Positive Regulation Of Autophagy,GO:BP,0.72,-1.231,0.9508,0.8281,NS,43
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Intrinsic Apoptotic Signaling Pathway,GO:BP,0.915,-1.035,0.7954,1,NS,74
GOBP_PROTEIN_LOCALIZATION_TO_ENDOSOME,Protein Localization To Endosome,GO:BP,1.022,-0.927,0.6601,1,NS,10
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY,Regulation Of Neuronal Synaptic Plasticity,GO:BP,0.998,0.95,0.6856,1,NS,13
GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS,Cellular Response To Xenobiotic Stimulus,GO:BP,0.679,-1.269,0.964,0.8131,NS,33
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,Metabolism Of Water Soluble Vitamins And Cofactors,Reactome,0.694,-1.254,0.9833,0.6734,NS,40
WP_PRIMARY_OVARIAN_INSUFFICIENCY,Wp Primary Ovarian Insufficiency,WikiPathways,0.65,1.298,0.9819,0.6717,NS,18
GOBP_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE,Response To Arsenic Containing Substance,GO:BP,1.457,0.49,0.2113,1,NS,10
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,Sars Cov 1 Modulates Host Translation Machinery,Reactome,-1.034,0.911,0.5485,0.9974,NS,32
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE,Production Of Molecular Mediator Involved In Inflammatory Response,GO:BP,1.154,-0.791,0.5014,1,NS,17
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Srp Dependent Cotranslational Protein Targeting To Membrane,Reactome,-0.636,1.309,0.9982,0.5474,NS,79
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,Negative Regulation Of Molecular Function,GO:BP,1.153,-0.789,0.4623,1,NS,74
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS,Microtubule Cytoskeleton Organization Involved In Mitosis,GO:BP,1.031,-0.911,0.6369,1,NS,41
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Positive Regulation Of Actin Filament Polymerization,GO:BP,0.949,0.993,0.736,1,NS,12
REACTOME_REGULATED_NECROSIS,Regulated Necrosis,Reactome,1.142,-0.8,0.4332,0.9974,NS,18
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,Apoptotic Mitochondrial Changes,GO:BP,-0.748,1.193,0.9553,0.901,NS,40
GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS,Positive Regulation Of Chemotaxis,GO:BP,1.117,-0.824,0.5437,1,NS,18
WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM,Wp Nucleotide Excision Repair In Xeroderma Pigmentosum,WikiPathways,-1.329,-0.612,0.3279,0.9941,NS,13
GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION,Regulation Of Osteoblast Differentiation,GO:BP,1.366,-0.574,0.2938,1,NS,11
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,Negative Regulation Of Nucleotide Metabolic Process,GO:BP,-1.193,0.747,0.4587,1,NS,12
GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION,Protein Containing Complex Localization,GO:BP,1.314,-0.625,0.3055,1,NS,38
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION,Regulation Of Postsynapse Organization,GO:BP,0.999,-0.939,0.684,1,NS,20
WP_17P133_YWHAE_COPY_NUMBER_VARIATION,Wp 17p133 Ywhae Copy Number Variation,WikiPathways,1.053,0.885,0.6119,0.9679,NS,13
GOBP_FAT_CELL_DIFFERENTIATION,Fat Cell Differentiation,GO:BP,1.036,0.901,0.6369,1,NS,28
GOBP_PROTEIN_HOMOTETRAMERIZATION,Protein Homotetramerization,GO:BP,0.687,-1.249,0.95,0.8497,NS,20
GOBP_POSITIVE_REGULATION_OF_MRNA_PROCESSING,Positive Regulation Of Mrna Processing,GO:BP,0.707,-1.229,0.9333,0.9096,NS,10
GOBP_REGULATION_OF_CILIUM_ASSEMBLY,Regulation Of Cilium Assembly,GO:BP,1.195,-0.74,0.4671,1,NS,11
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,Cellular Response To Peptide Hormone Stimulus,GO:BP,1.023,-0.912,0.6536,1,NS,79
REACTOME_HEDGEHOG_OFF_STATE,Hedgehog Off State,Reactome,-0.851,-1.082,0.8494,0.9035,NS,46
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,Cardiac Muscle Tissue Development,GO:BP,-0.852,1.081,0.8698,0.9911,NS,47
HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,-0.952,0.981,0.6824,0.7113,NS,40
GOBP_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,Regulation Of Nucleotide Metabolic Process,GO:BP,-1.005,-0.926,0.6732,1,NS,26
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,-1.178,0.753,0.3829,0.9436,NS,14
GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY,Inflammasome Mediated Signaling Pathway,GO:BP,-1.215,0.715,0.4368,1,NS,12
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION,Protein Localization To Cell Junction,GO:BP,1.009,0.921,0.6754,1,NS,21
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,Antigen Processing Ub ATP Independent Proteasomal Degradation,Reactome,0.752,-1.177,0.9041,0.7866,NS,16
WP_OREXIN_RECEPTOR_PATHWAY,Wp Orexin Receptor Pathway,WikiPathways,0.925,1.004,0.7714,0.9352,NS,33
GOBP_REGULATION_OF_CARDIAC_CONDUCTION,Regulation Of Cardiac Conduction,GO:BP,0.902,-1.027,0.7793,1,NS,10
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Regulation Of Oxidative Stress Induced Intrinsic Apoptotic Signaling Pathway,GO:BP,1.209,-0.719,0.4419,1,NS,17
GOBP_INTERLEUKIN_6_PRODUCTION,Interleukin 6 Production,GO:BP,1.195,-0.732,0.4646,1,NS,15
GOBP_MICROTUBULE_BASED_MOVEMENT,Microtubule Based Movement,GO:BP,0.965,0.962,0.729,1,NS,53
GOBP_PROTEIN_FOLDING,Protein Folding,GO:BP,0.928,0.999,0.7951,1,NS,102
GOBP_RESPONSE_TO_ZINC_ION,Response To Zinc Ion,GO:BP,0.95,-0.973,0.7334,1,NS,11
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteasomal Protein Catabolic Process,GO:BP,0.997,-0.925,0.6848,1,NS,35
WP_PROLACTIN_SIGNALING,Wp Prolactin Signaling,WikiPathways,1.207,-0.715,0.4262,0.9941,NS,28
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Positive Regulation Of Protein Containing Complex Disassembly,GO:BP,0.982,-0.94,0.7005,1,NS,10
WP_KISSPEPTINKISSPEPTIN_RECEPTOR_SYSTEM_IN_THE_OVARY,Wp Kisspeptinkisspeptin Receptor System In The Ovary,WikiPathways,0.75,1.172,0.9101,0.8206,NS,11
HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,Hallmark,-0.772,1.149,0.8815,0.4865,NS,34
GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION,Cell Communication Involved In Cardiac Conduction,GO:BP,-1.085,-0.835,0.5729,1,NS,15
GOBP_CELLULAR_RESPONSE_TO_CALCIUM_ION,Cellular Response To Calcium Ion,GO:BP,0.832,1.088,0.8341,0.9921,NS,21
GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,Regulation Of Leukocyte Chemotaxis,GO:BP,1.219,0.7,0.4351,1,NS,17
GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS,Regulation Of Cholesterol Metabolic Process,GO:BP,0.994,0.925,0.6881,1,NS,14
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_REGULATION_OF_THE_RELEASE_OF_SEQUESTERED_CALCIUM_ION,Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion,GO:BP,-1.083,0.835,0.5751,1,NS,15
PID_EPHB_FWD_PATHWAY,Pid Ephb Fwd Pathway,PID,1.341,0.575,0.2819,0.9772,NS,16
PID_INSULIN_GLUCOSE_PATHWAY,Pid Insulin Glucose Pathway,PID,0.95,0.966,0.7788,0.9596,NS,17
WP_SYNAPTIC_SIGNALING_ASSOCIATED_WITH_AUTISM_SPECTRUM_DISORDER,Wp Synaptic Signaling Associated With Autism Spectrum Disorder,WikiPathways,-1.135,0.781,0.5019,0.9711,NS,14
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I,GO:BP,1.488,-0.427,0.1932,1,NS,11
GOBP_RESPONSE_TO_ANGIOTENSIN,Response To Angiotensin,GO:BP,1.324,0.591,0.3295,1,NS,13
REACTOME_SIGNALING_BY_HEDGEHOG,Signaling By Hedgehog,Reactome,-0.74,-1.175,0.9833,0.7469,NS,50
GOBP_CARDIAC_CELL_DEVELOPMENT,Cardiac Cell Development,GO:BP,-0.618,1.296,0.9892,0.8281,NS,25
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,Alcohol Biosynthetic Process,GO:BP,0.714,-1.199,0.9511,0.8756,NS,37
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,Regulation Of Mrna Splicing Via Spliceosome,GO:BP,0.98,-0.932,0.7117,1,NS,29
GOBP_FATTY_ACID_TRANSMEMBRANE_TRANSPORT,Fatty Acid Transmembrane Transport,GO:BP,-0.876,1.034,0.7961,1,NS,11
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK,Wp DNA Repair Pathways Full Network,WikiPathways,-0.869,1.041,0.8099,0.9352,NS,16
REACTOME_MITOTIC_PROMETAPHASE,Mitotic Prometaphase,Reactome,-0.847,-1.062,0.8552,0.9232,NS,46
GOBP_CHROMOSOME_SEGREGATION,Chromosome Segregation,GO:BP,-0.663,1.244,0.9923,0.8308,NS,58
PID_IFNG_PATHWAY,Pid Ifng Pathway,PID,-0.821,1.086,0.8564,0.9596,NS,16
REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,DNA Damage Recognition In Gg Ner,Reactome,-1.377,-0.53,0.1984,0.9991,NS,17
GOBP_CELL_REDOX_HOMEOSTASIS,Cell Redox Homeostasis,GO:BP,1.208,0.698,0.4414,1,NS,20
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,Regulation Of Viral Genome Replication,GO:BP,-0.873,1.033,0.8042,1,NS,14
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,C Type Lectin Receptors Clrs,Reactome,-1.203,-0.702,0.2633,0.9974,NS,51
GOBP_MONOATOMIC_ANION_TRANSPORT,Monoatomic Anion Transport,GO:BP,1.118,-0.786,0.5427,1,NS,18
GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,Organelle Transport Along Microtubule,GO:BP,-1.171,-0.733,0.4607,1,NS,17
GOBP_REGULATION_OF_EMBRYONIC_DEVELOPMENT,Regulation Of Embryonic Development,GO:BP,0.825,1.079,0.8341,1,NS,10
BIOCARTA_PTDINS_PATHWAY,Biocarta Ptdins Pathway,BioCarta,0.739,1.164,0.9997,0.9749,NS,10
GOBP_DEVELOPMENTAL_MATURATION,Developmental Maturation,GO:BP,1.056,-0.847,0.6068,1,NS,37
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH,Regulation Of Developmental Growth,GO:BP,1.024,-0.878,0.6548,1,NS,47
GOBP_LEUKOCYTE_DEGRANULATION,Leukocyte Degranulation,GO:BP,0.998,-0.904,0.6842,1,NS,11
REACTOME_SIGNALING_BY_NOTCH,Signaling By Notch,Reactome,-1.072,0.83,0.475,0.9974,NS,48
REACTOME_ATTENUATION_PHASE,Attenuation Phase,Reactome,-0.843,1.059,0.7988,0.9485,NS,13
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,Myeloid Cell Activation Involved In Immune Response,GO:BP,-1.103,-0.798,0.5522,1,NS,13
GOBP_AXONAL_TRANSPORT,Axonal Transport,GO:BP,-0.926,0.975,0.7506,1,NS,15
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,Antigen Presentation Folding Assembly And Peptide Loading Of Class I Mhc,Reactome,1.142,0.759,0.438,0.9974,NS,16
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,Signaling By The B Cell Receptor Bcr,Reactome,1.246,-0.654,0.2633,0.9991,NS,55
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Negative Regulation Of Protein Modification Process,GO:BP,1.18,-0.719,0.4383,1,NS,59
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,Pyridine Containing Compound Metabolic Process,GO:BP,0.86,-1.039,0.8471,1,NS,82
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,Regulation Of Plk1 Activity At G2 M Transition,Reactome,0.877,-1.022,0.7776,0.9658,NS,26
GOBP_AUTOPHAGOSOME_ORGANIZATION,Autophagosome Organization,GO:BP,-1.19,0.706,0.4266,1,NS,27
REACTOME_METABOLISM_OF_STEROIDS,Metabolism Of Steroids,Reactome,1.055,-0.841,0.5485,0.9974,NS,33
REACTOME_DEUBIQUITINATION,Deubiquitination,Reactome,-1.132,0.763,0.3522,0.9974,NS,71
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,Ire1alpha Activates Chaperones,Reactome,1.044,0.85,0.5633,0.9974,NS,17
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Receptor Localization To Synapse,GO:BP,0.969,-0.923,0.7181,1,NS,14
WP_ANGIOPOIETINLIKE_PROTEIN_8_REGULATORY_PATHWAY,Wp Angiopoietinlike Protein 8 Regulatory Pathway,WikiPathways,-0.876,1.016,0.8331,0.9352,NS,31
GOBP_REGULATION_OF_REPRODUCTIVE_PROCESS,Regulation Of Reproductive Process,GO:BP,1.192,-0.699,0.4646,1,NS,16
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION,Regulation Of Microtubule Polymerization,GO:BP,-1.107,-0.784,0.5268,1,NS,24
GOBP_PROTEIN_K48_LINKED_UBIQUITINATION,Protein K48 Linked Ubiquitination,GO:BP,-1.064,-0.827,0.577,1,NS,21
PID_FCER1_PATHWAY,Pid Fcer1 Pathway,PID,-0.58,1.311,0.9851,0.9243,NS,12
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteasomal Ubiquitin Dependent Protein Catabolic Process,GO:BP,1.195,-0.695,0.4526,1,NS,22
GOBP_REGULATION_OF_ATP_DEPENDENT_ACTIVITY,Regulation Of ATP Dependent Activity,GO:BP,0.515,1.375,0.9923,0.7732,NS,18
GOBP_MRNA_TRANSPORT,Mrna Transport,GO:BP,1.183,-0.706,0.4587,1,NS,27
GOBP_VIRAL_GENOME_REPLICATION,Viral Genome Replication,GO:BP,0.877,1.012,0.8077,1,NS,25
WP_MICROTUBULE_CYTOSKELETON_REGULATION,Wp Microtubule Cytoskeleton Regulation,WikiPathways,0.733,-1.155,0.9389,0.8206,NS,18
GOBP_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT,Regulation Of D Glucose Transmembrane Transport,GO:BP,1.093,0.794,0.5772,1,NS,17
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Proteasome Mediated Ubiquitin Dependent Protein Catabolic Process,GO:BP,-1.104,0.782,0.4587,1,NS,106
PID_ERBB1_INTERNALIZATION_PATHWAY,Pid Erbb1 Internalization Pathway,PID,0.882,-1.004,0.7944,0.9596,NS,12
GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Regulation Of Proteolysis Involved In Protein Catabolic Process,GO:BP,1.078,-0.807,0.5679,1,NS,73
WP_TAR_SYNDROME,Wp Tar Syndrome,WikiPathways,1.141,-0.744,0.5174,0.9899,NS,15
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION,Establishment Of RNA Localization,GO:BP,1.178,-0.707,0.4587,1,NS,36
GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,Positive Regulation Of Protein Polymerization,GO:BP,-0.803,1.081,0.8918,0.9921,NS,28
REACTOME_SIGNALING_BY_RETINOIC_ACID,Signaling By Retinoic Acid,Reactome,-1.101,0.783,0.4684,0.9974,NS,14
GOBP_HEART_PROCESS,Heart Process,GO:BP,-1.105,0.778,0.4761,1,NS,72
GOBP_RNA_LOCALIZATION,RNA Localization,GO:BP,1.116,0.767,0.526,1,NS,49
WP_RAC1PAK1P38MMP2_PATHWAY,Wp Rac1pak1p38mmp2 Pathway,WikiPathways,0.98,-0.903,0.6968,0.9679,NS,24
GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,T Cell Receptor Signaling Pathway,GO:BP,0.853,1.029,0.8208,1,NS,21
GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,DNA Templated Transcription Initiation,GO:BP,-0.893,0.988,0.7851,1,NS,15
GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,Tumor Necrosis Factor Mediated Signaling Pathway,GO:BP,0.888,0.993,0.7961,1,NS,22
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,Ddx58 Ifih1 Mediated Induction Of Interferon Alpha Beta,Reactome,-0.928,-0.953,0.6953,0.9839,NS,16
WP_SMITHMAGENIS_AND_POTOCKILUPSKI_SYNDROME_COPY_NUMBER_VARIATION,Wp Smithmagenis And Potockilupski Syndrome Copy Number Variation,WikiPathways,-1.193,-0.688,0.3924,0.9941,NS,31
BIOCARTA_MCALPAIN_PATHWAY,Biocarta Mcalpain Pathway,BioCarta,0.892,-0.986,0.9997,0.9749,NS,11
GOBP_REGULATION_OF_HEART_GROWTH,Regulation Of Heart Growth,GO:BP,1.163,0.715,0.5013,1,NS,10
GOBP_REGULATION_OF_ACTION_POTENTIAL,Regulation Of Action Potential,GO:BP,-1.076,0.802,0.5772,1,NS,13
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Nucleobase Containing Compound Transport,GO:BP,0.955,0.922,0.7273,1,NS,43
GOBP_RESPONSE_TO_LIGHT_STIMULUS,Response To Light Stimulus,GO:BP,0.945,0.932,0.7506,1,NS,54
REACTOME_TCR_SIGNALING,Tcr Signaling,Reactome,-1.201,-0.675,0.2853,0.9974,NS,45
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,Positive Regulation Of Lipid Metabolic Process,GO:BP,1.028,-0.848,0.6531,1,NS,29
GOBP_NOTCH_SIGNALING_PATHWAY,Notch Signaling Pathway,GO:BP,0.811,1.062,0.8442,1,NS,15
GOBP_MIDBRAIN_DEVELOPMENT,Midbrain Development,GO:BP,0.909,0.964,0.7851,1,NS,27
GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS,Nucleoside Diphosphate Catabolic Process,GO:BP,-0.906,0.965,0.8069,1,NS,41
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY,Regulation Of Transferase Activity,GO:BP,1.127,0.743,0.5013,1,NS,60
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,Cytokine Production Involved In Immune Response,GO:BP,-0.941,0.929,0.7334,1,NS,13
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,Mapk Family Signaling Cascades,Reactome,0.931,0.939,0.7359,0.9974,NS,89
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT,Substantia Nigra Development,GO:BP,1.059,0.81,0.6074,1,NS,24
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,Production Of Molecular Mediator Of Immune Response,GO:BP,-0.939,0.93,0.7448,1,NS,24
GOBP_ORGANELLE_DISASSEMBLY,Organelle Disassembly,GO:BP,-1.037,0.832,0.6097,1,NS,21
PID_P38_MK2_PATHWAY,Pid P38 Mk2 Pathway,PID,1.215,0.653,0.4232,0.9596,NS,10
GOBP_PEPTIDE_METABOLIC_PROCESS,Peptide Metabolic Process,GO:BP,0.923,-0.945,0.7619,1,NS,22
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,Hedgehog Ligand Biogenesis,Reactome,-1.2,0.667,0.3031,0.9974,NS,33
WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,Wp Macrophagestimulating Protein Msp Signaling,WikiPathways,1.065,0.802,0.5879,0.9773,NS,27
GOBP_MITOTIC_SPINDLE_ORGANIZATION,Mitotic Spindle Organization,GO:BP,0.967,-0.898,0.7211,1,NS,36
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION,Positive Regulation Of Synaptic Transmission,GO:BP,0.916,0.949,0.776,1,NS,23
GOBP_ANIMAL_ORGAN_REGENERATION,Animal Organ Regeneration,GO:BP,-0.764,-1.101,0.8848,0.9877,NS,12
REACTOME_SIGNALING_BY_PTK6,Signaling By Ptk6,Reactome,1.266,0.599,0.3073,0.9974,NS,12
REACTOME_METABOLISM_OF_COFACTORS,Metabolism Of Cofactors,Reactome,-0.995,-0.868,0.608,0.9974,NS,12
GOBP_PROSTANOID_METABOLIC_PROCESS,Prostanoid Metabolic Process,GO:BP,1.104,-0.757,0.5631,1,NS,19
GOBP_VESICLE_LOCALIZATION,Vesicle Localization,GO:BP,0.969,-0.892,0.7181,1,NS,45
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,Regulation Of Mitotic Nuclear Division,GO:BP,-0.876,-0.985,0.7954,1,NS,10
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol,GO:BP,0.893,0.968,0.7954,1,NS,24
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,Negative Regulation Of Phosphorus Metabolic Process,GO:BP,1.062,0.798,0.6005,1,NS,50
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,Glutamine Family Amino Acid Metabolic Process,GO:BP,1.163,-0.697,0.4865,1,NS,21
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH,Positive Regulation Of Developmental Growth,GO:BP,-0.942,0.918,0.7448,1,NS,23
GOBP_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,GO:BP,0.862,-0.998,0.8275,1,NS,48
GOBP_STRIATED_MUSCLE_CELL_PROLIFERATION,Striated Muscle Cell Proliferation,GO:BP,1.134,-0.725,0.5332,1,NS,10
WP_TCELL_RECEPTOR_SIGNALING,Wp Tcell Receptor Signaling,WikiPathways,0.931,0.926,0.7574,0.9599,NS,20
GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Regulation Of Post Translational Protein Modification,GO:BP,-1.024,-0.833,0.6369,1,NS,66
GOBP_GRANULOCYTE_ACTIVATION,Granulocyte Activation,GO:BP,0.874,-0.982,0.8045,1,NS,10
SIG_BCR_SIGNALING_PATHWAY,Sig Bcr Signaling Pathway,Other,0.953,-0.903,0.5266,0.5869,NS,15
KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,Reference Glycolysis,KEGG,1.002,0.852,0.4807,0.7629,NS,16
GOBP_ONE_CARBON_METABOLIC_PROCESS,One Carbon Metabolic Process,GO:BP,-0.901,-0.952,0.7762,1,NS,11
GOBP_PLASMA_MEMBRANE_REPAIR,Plasma Membrane Repair,GO:BP,1.253,0.6,0.3997,1,NS,17
