gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
ETFRF1,0.0601,0.0706,0.990282,0.899729,NS
COPB1,0.0608,0.0697,0.990298,0.900575,NS
MMAB,-0.0554,0.0754,0.990423,0.892334,NS
NDUFB10,-0.0503,0.0821,0.990545,0.886052,NS
CA14,0.0547,0.0754,0.99055,0.892334,NS
ENO2,0.0503,0.0812,0.990643,0.887033,NS
ACOT13,-0.0511,0.0792,0.990716,0.8883,NS
DAG1,-0.0472,0.0835,0.990968,0.884712,NS
MYL4,-0.0693,0.0538,0.99146,0.923852,NS
BLMH,0.0364,0.1008,0.991587,0.864138,NS
FAM136A,0.0462,0.079,0.99164,0.888461,NS
THTPA,-0.045,0.0805,0.991681,0.887589,NS
OSBPL11,-0.0702,0.0507,0.991842,0.927263,NS
TRAPPC3,0.0369,0.0964,0.991847,0.869778,NS
PARK7,0.033,0.1069,0.991901,0.855791,NS
AKR7A2,-0.0365,0.0955,0.992011,0.871263,NS
RPS19,0.0367,0.0942,0.992076,0.872654,NS
SRSF1,-0.0407,0.0845,0.992106,0.88367,NS
PURA,-0.0443,0.0775,0.992117,0.889734,NS
C9orf64,0.0373,0.0918,0.99215,0.876043,NS
HEBP2,-0.0347,0.0985,0.992157,0.866795,NS
PLEC,0.0499,0.0678,0.99225,0.902293,NS
AK1,-0.0378,0.0893,0.992255,0.878356,NS
SENP8,0.0404,0.082,0.992394,0.886052,NS
NLN,-0.0455,0.0712,0.992573,0.898982,NS
LMAN1,-0.039,0.0803,0.992817,0.887751,NS
GMPR,0.0447,0.0695,0.992875,0.900575,NS
THNSL1,0.0536,0.0578,0.992896,0.917332,NS
PPP1R3A,-0.0486,0.0637,0.992899,0.908505,NS
EIF3I,-0.0395,0.078,0.992921,0.889267,NS
TCAP,0.0574,0.0536,0.992947,0.923852,NS
CBFB,0.0457,0.0621,0.993481,0.90954,NS
CACYBP,0.0384,0.0725,0.993619,0.896805,NS
EIF4E,-0.0351,0.0787,0.993666,0.888569,NS
THOP1,-0.0347,0.0785,0.99374,0.888569,NS
CRYAB,0.0395,0.0689,0.993755,0.901064,NS
PAICS,0.0317,0.0853,0.993786,0.882501,NS
CD38,0.0435,0.0621,0.993797,0.90954,NS
CAPN1,0.0315,0.0843,0.993914,0.883738,NS
ACTR1A,-0.0304,0.0862,0.993991,0.88136,NS
SHOC2,0.0352,0.0705,0.994298,0.899729,NS
PLCL2,-0.0384,0.0633,0.994425,0.908946,NS
TCEA3,0.0424,0.0572,0.994431,0.918108,NS
DCTPP1,-0.0468,0.0492,0.99471,0.929919,NS
CDH13,-0.0323,0.0696,0.994845,0.900575,NS
TMEM230,0.0534,0.0403,0.995061,0.93905,NS
DUSP23,-0.0403,0.0527,0.995125,0.925039,NS
TXN2,-0.0326,0.0624,0.99533,0.90954,NS
SETD3,0.0376,0.0537,0.995361,0.923852,NS
UBE2R2,-0.0384,0.0522,0.99539,0.925311,NS
GBP2,-0.0453,0.0442,0.995397,0.934867,NS
CAB39L,-0.0451,0.0436,0.995477,0.935254,NS
TATDN1,0.0331,0.0593,0.995489,0.914932,NS
RPL15,-0.0309,0.062,0.995594,0.90954,NS
PSMD4,-0.0244,0.0774,0.995656,0.889734,NS
AASDHPPT,0.0357,0.0529,0.995659,0.924988,NS
HUWE1,-0.0267,0.0682,0.995808,0.90215,NS
JUP,-0.0349,0.0507,0.995929,0.927263,NS
CRKL,-0.0243,0.0727,0.995939,0.896712,NS
NDUFV3,-0.0379,0.0454,0.996046,0.934243,NS
NDUFAB1,0.0314,0.0544,0.996081,0.923431,NS
PPP1R7,-0.0249,0.0665,0.996195,0.903154,NS
GET4,0.0353,0.0468,0.99621,0.932452,NS
AGK,0.0333,0.0483,0.99631,0.931241,NS
BABAM2,-0.0353,0.0441,0.99642,0.934867,NS
WDR1,0.0225,0.0678,0.996489,0.902293,NS
EEA1,-0.0307,0.0491,0.996535,0.929919,NS
CHMP2A,-0.0327,0.0443,0.996671,0.934867,NS
PHYHD1,0.0418,0.0342,0.996721,0.949931,NS
SHMT1,0.024,0.0508,0.997196,0.927263,NS
SRP54,0.027,0.045,0.997206,0.934734,NS
RPL38,0.0274,0.0421,0.997349,0.936611,NS
HSPD1,-0.0232,0.0478,0.997452,0.931558,NS
SLC25A24,0.0226,0.0474,0.997536,0.931633,NS
HNRNPU,0.0228,0.0466,0.997555,0.932452,NS
GFPT1,-0.0244,0.043,0.997591,0.9355,NS
PTCD3,0.0327,0.0305,0.997706,0.956006,NS
IL18,-0.0309,0.032,0.997731,0.953538,NS
