module_color,pathway,database,pval,padj,overlap,size,odds_ratio
turquoise,HALLMARK_BILE_ACID_METABOLISM,Hallmark,0.005511449734152776,0.031493998480873,13,22,3.274658573596358
turquoise,REACTOME_SIGNALING_BY_PDGF,Reactome,0.007540552446116348,0.031869504677925695,11,18,3.5565161011454505
turquoise,REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE,Reactome,0.007671724618235168,0.03212086569130238,14,25,2.885880077369439
turquoise,HALLMARK_COAGULATION,Hallmark,0.006462821805426527,0.03231410902713264,12,20,3.397727272727273
turquoise,GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,GO:BP,0.0026342443221614017,0.03369542085129932,20,37,2.681342475640563
turquoise,GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION,GO:BP,0.002746300820913362,0.03452827784242355,33,70,2.046187032102525
turquoise,GOBP_GOLGI_VESICLE_TRANSPORT,GO:BP,0.0028261043010499127,0.035009122418192463,36,78,1.9690026954177897
turquoise,GOBP_REGULATION_OF_MRNA_PROCESSING,GO:BP,0.0028321451854282143,0.035009122418192463,17,30,2.9747504403992955
turquoise,REACTOME_RAC1_GTPASE_CYCLE,Reactome,0.008736155017433248,0.03557997679827359,10,16,3.768882175226586
turquoise,REACTOME_CO_INHIBITION_BY_PD_1,Reactome,0.008894633997375315,0.03589906334075803,28,61,1.9367588932806323
turquoise,GOBP_ENDOCYTIC_RECYCLING,GO:BP,0.003125272226397781,0.03706605845037624,13,21,3.6864567526555385
turquoise,GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,GO:BP,0.003125272226397781,0.03706605845037624,13,21,3.6864567526555385
turquoise,GOBP_RESPONSE_TO_ACID_CHEMICAL,GO:BP,0.003149733043029932,0.03706605845037624,19,35,2.704153905053599
turquoise,REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,Reactome,0.009967381451545828,0.03784736064340537,15,28,2.616789603090973
turquoise,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,Reactome,0.010106612263091806,0.03784736064340537,19,38,2.2725880551301683
turquoise,REACTOME_SIGNALING_BY_NOTCH4,Reactome,0.010222166602348325,0.03784736064340537,17,33,2.412118320610687
turquoise,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,Reactome,0.010222166602348325,0.03784736064340537,17,33,2.412118320610687
turquoise,GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,GO:BP,0.003316982672777656,0.03825841889585919,21,40,2.519524617996604
