uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
Q14204,0.2734636394157768,-0.06415222551351829,0.6110795043450719,20.13608949268244,1.6388999858648856,-4.410001445527235,0.10936205449752637,0.9158559636931725,0,0,0.545965221960419,0,Training_CRE,DYNC1H1,DYHC1_HUMAN,Cytoplasmic dynein 1 heavy chain 1
Q14103,0.4637895287976299,0.07373195724252612,0.8538471003527337,20.05038351919624,2.4058466133162852,-4.069386254332159,0.02102763937549498,0.9158559636931725,1,0,0.16677379280649307,0,Training_CRE,HNRNPD,HNRPD_HUMAN,Heterogeneous nuclear ribonucleoprotein D0
Q9Y6H1,0.2914644720408255,-0.10409716660906865,0.6870261106907196,20.053103978560866,1.4908953676497152,-4.4647580678878915,0.14411774847301992,0.9158559636931725,0,0,0.5685858285841172,0,Training_CRE,CHCHD2,CHCH2_HUMAN,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2
Q12988,-0.2738725235198807,-0.7789336226634754,0.2311885756237141,19.941007404496457,-1.0971859875875347,-4.589127662826344,0.2793588790206956,0.9468612472726381,-0,-0,0.7052110693670367,0,Training_CRE,HSPB3,HSPB3_HUMAN,Heat shock protein beta-3
P51648,0.0055192001202151175,-0.4522465853905982,0.46328498563102843,20.0709044688637,0.024395432419226634,-4.743355338199674,0.9806628947107161,0.9980928245512247,0,0,0.9998922350751843,0,Training_CRE,ALDH3A2,AL3A2_HUMAN,Aldehyde dehydrogenase family 3 member A2
Q86VP6,0.3228941895552673,-0.28678587349307216,0.9325742526036067,19.847189445104895,1.0716030598228998,-4.596059908048254,0.2905540183843719,0.9499865904986723,0,0,0.6709328874504586,0,Training_CRE,CAND1,CAND1_HUMAN,Cullin-associated NEDD8-dissociated protein 1
O43920,0.11201419964444526,-0.5357314071662287,0.7597598064551192,19.936085100987764,0.34990029811893114,-4.727358365324087,0.7283158582245781,0.9755112100065604,0,0,0.9651123183039967,0,Training_CRE,NDUFS5,NDUS5_HUMAN,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5
Q15555,-0.10116998940299737,-0.6316253990299353,0.42928542022394056,19.95687247642571,-0.38590333367636975,-4.723891682458158,0.7016874199055785,0.9725743787986779,-0,-0,0.9647934775842548,0,Training_CRE,MAPRE2,MARE2_HUMAN,Microtubule-associated protein RP/EB family member 2
Q9UFN0,-0.13230006927312843,-0.7447813324030831,0.4801811938568262,19.9223392980312,-0.43706192346964284,-4.718390668532344,0.6645023140942634,0.966088170901145,-0,-0,0.9473626844284069,0,Training_CRE,NIPSNAP3A,NPS3A_HUMAN,Protein NipSnap homolog 3A
Q13698,-0.2955668446604385,-0.7411023422370793,0.14996865291620237,19.84575758176182,-1.3422985223549944,-4.515477949774192,0.18734241650503466,0.9158559636931725,-0,-0,0.6095584449177,0,Training_CRE,CACNA1S,CAC1S_HUMAN,Voltage-dependent L-type calcium channel subunit alpha-1S
Q99714,0.21226594922337938,-0.13327965541227604,0.5578115538590348,20.080967193501067,1.2429414394960578,-4.546880469401642,0.22138797651774297,0.9158559636931725,0,0,0.7261034474883659,0,Training_CRE,HSD17B10,HCD2_HUMAN,3-hydroxyacyl-CoA dehydrogenase type-2
Q99715,0.8036127250476142,-0.12201579973135912,1.7292412498265874,18.659513599957123,1.7574882674874859,-4.363483289780162,0.08688184433681824,0.9158559636931725,1,0,0.14038149644344453,0,Training_CRE,COL12A1,COCA1_HUMAN,Collagen alpha-1(XII) chain
E9PAV3,-0.054810988089517565,-0.34860115478247466,0.23897917860343953,20.057602007556305,-0.377490550060586,-4.724731732603635,0.7078771310490739,0.9725743787986779,-0,-0,0.9812418062959268,0,Training_CRE,NACA,NACAM_HUMAN,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"
O95298,-0.157606690532468,-0.6983362845517292,0.38312290348679323,19.81510987076107,-0.5897530820111487,-4.697996357893404,0.5587933556108433,0.966088170901145,-0,-0,0.9123576194622711,0,Training_CRE,NDUFC2,NDUC2_HUMAN,NADH dehydrogenase [ubiquinone] 1 subunit C2
P30405,-0.17698326248738283,-0.8762398283448387,0.522273303370073,19.83947901221095,-0.5121195463578855,-4.709105704916177,0.6114856784064457,0.966088170901145,-0,-0,0.9166297502899768,0,Training_CRE,PPIF,PPIF_HUMAN,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
Q15435,0.1795779296193878,-0.1332241017169793,0.49237996095575487,20.05920365807072,1.161606688539875,-4.571027110782864,0.2525291641318968,0.9298309752436948,0,0,0.7810311297713953,0,Training_CRE,PPP1R7,PP1R7_HUMAN,Protein phosphatase 1 regulatory subunit 7
Q13526,-0.22372427286725838,-0.5770357598291991,0.12958721409468227,19.889705576023328,-1.2812416740302197,-4.535020096009703,0.20775401049441147,0.9158559636931725,-0,-0,0.7035893213318072,0,Training_CRE,PIN1,PIN1_HUMAN,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
P55290,0.08484831393107228,-0.28167216498546666,0.4513687928476112,20.018097824241238,0.46840409130852934,-4.714688506190203,0.6421304829503869,0.966088170901145,0,0,0.9631128121759079,0,Training_CRE,CDH13,CAD13_HUMAN,Cadherin-13
O14653,-0.5440222728771644,-1.1204036193170044,0.032359073562675644,19.82564825465986,-1.9097761785337022,-4.299747532180396,0.06361513515240597,0.9158559636931725,-1,-0,0.22341392525080245,0,Training_CRE,GOSR2,GOSR2_HUMAN,Golgi SNAP receptor complex member 2
