gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
CSDE1,-0.6205,0.223,0.071657,0.745634,NS,Discordant (Cancer Down / Training Up),FALSE
NDUFAF4,-0.4097,0.4333,0.539314,0.440776,NS,Discordant (Cancer Down / Training Up),TRUE
NIT1,-0.6417,0.1978,0.055171,0.798902,NS,Discordant (Cancer Down / Training Up),FALSE
RWDD1,-0.6479,-0.1909,0.066792,0.833954,NS,Concordant Down,TRUE
OSTF1,0.6773,0.1597,0.194372,0.899215,NS,Concordant Up,TRUE
OXSM,-0.6161,0.2196,0.062713,0.799978,NS,Discordant (Cancer Down / Training Up),TRUE
ATP5PD,-0.6309,0.2035,0.055573,0.779989,NS,Discordant (Cancer Down / Training Up),FALSE
PSMD7,-0.4067,0.4275,0.285596,0.150075,NS,Discordant (Cancer Down / Training Up),FALSE
COX7C,-0.7342,0.1,0.097819,0.968886,NS,Discordant (Cancer Down / Training Up),FALSE
DNAJB4,0.5081,0.3259,0.2734,0.593484,NS,Concordant Up,TRUE
SMYD5,0.2624,-0.571,0.678126,0.085498,NS,Discordant (Cancer Up / Training Down),TRUE
PLP2,0.2707,0.561,0.836784,0.345679,NS,Concordant Up,TRUE
ACY1,-0.5308,0.3002,0.1814,0.567171,NS,Discordant (Cancer Down / Training Up),FALSE
MLIP,-0.5222,0.3085,0.436552,0.753302,NS,Discordant (Cancer Down / Training Up),TRUE
ABHD16A,-0.5817,-0.2487,0.24844,0.850814,NS,Concordant Down,TRUE
RPL21,0.5248,-0.3055,0.292565,0.595555,NS,Discordant (Cancer Up / Training Down),TRUE
CCDC22,0.2817,0.5462,0.803467,0.386584,NS,Concordant Up,TRUE
ATP5F1C,-0.5607,0.2672,0.097586,0.602908,NS,Discordant (Cancer Down / Training Up),FALSE
NDUFS6,-0.6464,0.1812,0.114073,0.868501,NS,Discordant (Cancer Down / Training Up),FALSE
MECR,-0.6001,0.2275,0.128231,0.768557,NS,Discordant (Cancer Down / Training Up),TRUE
TXNDC5,0.7371,-0.0905,0.096976,0.974922,NS,Discordant (Cancer Up / Training Down),TRUE
COL18A1,0.5186,-0.3086,0.21115,0.566385,NS,Discordant (Cancer Up / Training Down),TRUE
ABCF1,-0.6067,0.2201,0.097137,0.775549,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFA7,-0.5269,0.2988,0.455726,0.760676,NS,Discordant (Cancer Down / Training Up),TRUE
EDF1,-0.6871,-0.1378,0.097217,0.944387,NS,Concordant Down,TRUE
UFD1,-0.4576,0.3643,0.224035,0.336672,NS,Discordant (Cancer Down / Training Up),TRUE
ETHE1,-0.4499,0.3697,0.215503,0.313119,NS,Discordant (Cancer Down / Training Up),TRUE
NUDT19,-0.3528,0.4659,0.607631,0.414226,NS,Discordant (Cancer Down / Training Up),TRUE
RPL23,0.5477,-0.2688,0.071363,0.542354,NS,Discordant (Cancer Up / Training Down),FALSE
CNP,0.6677,-0.1485,0.050405,0.900787,NS,Discordant (Cancer Up / Training Down),TRUE
PNPO,-0.3915,-0.4246,0.385172,0.213024,NS,Concordant Down,TRUE
TMX4,-0.3658,-0.4503,0.353302,0.09989,NS,Concordant Down,TRUE
MCCC2,-0.6752,-0.14,0.065306,0.916415,NS,Concordant Down,TRUE
RPS11,-0.4687,-0.3453,0.263671,0.473146,NS,Concordant Down,TRUE
NCK1,-0.5996,0.214,0.361487,0.90500100000000006,NS,Discordant (Cancer Down / Training Up),TRUE
VAMP2,0.5007,-0.3123,0.15859,0.477007,NS,Discordant (Cancer Up / Training Down),TRUE
ESAM,0.6212,-0.1893,0.139937,0.861807,NS,Discordant (Cancer Up / Training Down),TRUE
MYH11,0.4491,0.36,0.52905,0.596707,NS,Concordant Up,TRUE
DTNA,-0.569,-0.2377,0.208094,0.77753,NS,Concordant Down,TRUE
DDX19A,-0.6062,0.2003,0.109293,0.813481,NS,Discordant (Cancer Down / Training Up),FALSE
CYC1,-0.3891,0.4139,0.44438,0.286168,NS,Discordant (Cancer Down / Training Up),FALSE
DLST,-0.5685,0.234,0.077086,0.676482,NS,Discordant (Cancer Down / Training Up),FALSE
LMNA,0.6731,-0.1285,0.211016,0.954551,NS,Discordant (Cancer Up / Training Down),FALSE
FKBP9,0.6959,-0.1054,0.391482,0.981462,NS,Discordant (Cancer Up / Training Down),TRUE
MCM3AP,-0.7431,-0.0566,0.143737,0.992343,NS,Concordant Down,TRUE
BDH2,0.3769,0.422,0.486111,0.321574,NS,Concordant Up,TRUE
CPA3,0.316,-0.4826,0.687167,0.260299,NS,Discordant (Cancer Up / Training Down),TRUE
