gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
APEH,0.4373,-0.1347,0.131147,0.854707,NS,Discordant (Cancer Up / TR Down),FALSE
FARSA,-0.3616,0.2101,0.339187,0.681549,NS,Discordant (Cancer Down / TR Up),TRUE
PHKG1,-0.4813,0.0903,0.327413,0.968627,NS,Discordant (Cancer Down / TR Up),TRUE
ATP5PO,-0.3786,0.1913,0.306198,0.739677,NS,Discordant (Cancer Down / TR Up),FALSE
ARIH1,-0.4179,-0.152,0.275011,0.882828,NS,Concordant Down,TRUE
LAMTOR2,-0.2038,0.3651,0.810344,0.539444,NS,Discordant (Cancer Down / TR Up),TRUE
DAZAP1,0.3571,-0.2112,0.428935,0.748185,NS,Discordant (Cancer Up / TR Down),TRUE
GLOD4,0.4091,-0.1586,0.153413,0.78008,NS,Discordant (Cancer Up / TR Down),FALSE
NIBAN1,0.4136,-0.1534,0.274353,0.856718,NS,Discordant (Cancer Up / TR Down),TRUE
ETF1,-0.3735,0.193,0.262235,0.709332,NS,Discordant (Cancer Down / TR Up),TRUE
LRRC40,0.3133,-0.2523,0.552493,0.692136,NS,Discordant (Cancer Up / TR Down),TRUE
MTARC2,0.3791,-0.1862,0.364134,0.806018,NS,Discordant (Cancer Up / TR Down),TRUE
FXN,-0.3889,-0.1753,0.38598,0.828625,NS,Concordant Down,TRUE
NUDT4,-0.1582,0.4058,0.904112,0.314059,NS,Discordant (Cancer Down / TR Up),TRUE
MT-CO2,-0.3406,0.2233,0.417531,0.659125,NS,Discordant (Cancer Down / TR Up),FALSE
PTGES2,-0.4683,0.0954,0.35378,0.964721,NS,Discordant (Cancer Down / TR Up),TRUE
LSM8,-0.154,0.4079,0.914151,0.257539,NS,Discordant (Cancer Down / TR Up),TRUE
NRAP,-0.4422,-0.1195,0.472664,0.952684,NS,Concordant Down,TRUE
IDH2,-0.3798,0.1818,0.328073,0.777999,NS,Discordant (Cancer Down / TR Up),FALSE
SMIM4,-0.4599,-0.1009,0.344328,0.965809,NS,Concordant Down,TRUE
PSPC1,-0.4814,-0.079,0.343698,0.979839,NS,Concordant Down,TRUE
MGST2,-0.444,-0.1163,0.39513,0.950415,NS,Concordant Down,TRUE
TNPO1,0.4487,-0.1115,0.268664,0.948747,NS,Discordant (Cancer Up / TR Down),TRUE
HK1,-0.344,0.2159,0.206147,0.512372,NS,Discordant (Cancer Down / TR Up),FALSE
PFDN4,-0.441,0.1179,0.194443,0.909971,NS,Discordant (Cancer Down / TR Up),FALSE
NAXD,-0.5278,-0.0309,0.129883,0.995505,NS,Concordant Down,FALSE
DUSP28,-0.3297,0.2285,0.652573,0.822438,NS,Discordant (Cancer Down / TR Up),TRUE
RPRD1B,0.4683,-0.0891,0.359019,0.970824,NS,Discordant (Cancer Up / TR Down),TRUE
NXN,-0.3796,-0.1773,0.45606,0.850016,NS,Concordant Down,TRUE
CBFB,0.2042,-0.3527,0.831705,0.461434,NS,Discordant (Cancer Up / TR Down),TRUE
HINT2,-0.256,-0.2997,0.736796,0.572804,NS,Concordant Down,TRUE
ME1,-0.2904,-0.265,0.507983,0.486717,NS,Concordant Down,FALSE
PRKG1,-0.3266,-0.2288,0.645203,0.782047,NS,Concordant Down,TRUE
PRKDC,-0.502,-0.0531,0.095484,0.984243,NS,Concordant Down,TRUE
NDUFS2,-0.3081,0.2468,0.625249,0.694761,NS,Discordant (Cancer Down / TR Up),FALSE
LARS2,-0.3794,0.1754,0.710703,0.939765,NS,Discordant (Cancer Down / TR Up),TRUE
CTSB,0.4755,0.079,0.199897,0.967477,NS,Concordant Up,FALSE
RAB21,-0.4706,-0.0837,0.208633,0.963298,NS,Concordant Down,FALSE
SYNCRIP,0.1663,0.3874,0.793489,0.089776,NS,Concordant Up,FALSE
TIPRL,0.3452,0.2074,0.431608,0.721186,NS,Concordant Up,FALSE
USP5,0.3716,-0.1808,0.168616,0.667094,NS,Discordant (Cancer Up / TR Down),FALSE
HNRNPUL1,0.2289,0.3229,0.827035,0.545084,NS,Concordant Up,TRUE
TCAP,0.0444,0.5071,0.995823,0.394752,NS,Concordant Up,TRUE
RCN1,0.4905,0.0602,0.134183,0.979594,NS,Concordant Up,FALSE
COBL,-0.2374,-0.3129,0.735521,0.474831,NS,Concordant Down,TRUE
DNAJA2,-0.3522,0.1973,0.439393,0.761896,NS,Discordant (Cancer Down / TR Up),FALSE
COPA,0.3161,0.2333,0.415063,0.626414,NS,Concordant Up,TRUE
PPP1CC,0.2462,0.3028,0.660144,0.468673,NS,Concordant Up,TRUE
GPX1,0.4819,-0.0663,0.111105,0.972246,NS,Discordant (Cancer Up / TR Down),FALSE
RAB24,-0.3214,0.2261,0.62428,0.82242,NS,Discordant (Cancer Down / TR Up),TRUE
NAP1L4,-0.3132,0.234,0.295775,0.45242,NS,Discordant (Cancer Down / TR Up),FALSE
HSD17B4,-0.4012,-0.146,0.206879,0.83853,NS,Concordant Down,TRUE
HINT1,0.4387,-0.108,0.118073,0.906428,NS,Discordant (Cancer Up / TR Down),FALSE
NDUFV1,-0.3037,0.2429,0.619005,0.690266,NS,Discordant (Cancer Down / TR Up),FALSE
SSPN,-0.2671,-0.2795,0.775331,0.695711,NS,Concordant Down,TRUE
DRG2,-0.341,0.205,0.624019,0.854814,NS,Discordant (Cancer Down / TR Up),TRUE
MICU2,-0.2858,-0.2589,0.793044,0.813841,NS,Concordant Down,TRUE
CHP1,-0.4651,0.0794,0.147264,0.961931,NS,Discordant (Cancer Down / TR Up),TRUE
RPS24,-0.2536,0.2907,0.570327,0.360336,NS,Discordant (Cancer Down / TR Up),TRUE
GYG1,-0.5257,-0.0186,0.168822,0.998559,NS,Concordant Down,TRUE
EIF3L,-0.5248,-0.0191,0.125338,0.998286,NS,Concordant Down,FALSE
TSTD1,-0.0155,0.5279,0.999244,0.175924,NS,Discordant (Cancer Down / TR Up),TRUE
NEK7,-0.2435,-0.2997,0.727726,0.506289,NS,Concordant Down,TRUE
FHL3,-0.3497,-0.1933,0.703876,0.888599,NS,Concordant Down,TRUE
ACSL4,0.258,-0.285,0.911942,0.744149,NS,Discordant (Cancer Up / TR Down),TRUE
FAHD1,-0.2153,0.3275,0.828085,0.528617,NS,Discordant (Cancer Down / TR Up),TRUE
SPPL2A,-0.3968,-0.1459,0.389915,0.902172,NS,Concordant Down,TRUE
RASA4,0.2755,-0.2668,0.699655,0.675607,NS,Discordant (Cancer Up / TR Down),TRUE
RPA2,0.4406,-0.1017,0.297017,0.950907,NS,Discordant (Cancer Up / TR Down),TRUE
EIF5,-0.3306,0.2116,0.458142,0.702431,NS,Discordant (Cancer Down / TR Up),FALSE
C1QBP,-0.4285,0.1133,0.127793,0.894457,NS,Discordant (Cancer Down / TR Up),FALSE
RPS7,0.4124,-0.1293,0.345849,0.911964,NS,Discordant (Cancer Up / TR Down),FALSE
IGFBP5,0.2179,0.3234,0.822729,0.520007,NS,Concordant Up,TRUE
TUBA8,-0.4724,0.0678,0.372886,0.983679,NS,Discordant (Cancer Down / TR Up),FALSE
RAB12,-0.1486,-0.3911,0.865279,0.161996,NS,Concordant Down,TRUE
VAMP5,-0.2627,0.276,0.876192,0.743496,NS,Discordant (Cancer Down / TR Up),TRUE
SIRT5,-0.4764,0.0623,0.350365,0.985898,NS,Discordant (Cancer Down / TR Up),TRUE
PRUNE1,-0.3598,-0.1781,0.323153,0.797683,NS,Concordant Down,TRUE
CUL2,-0.2584,-0.2787,0.712956,0.592213,NS,Concordant Down,TRUE
RNF114,-0.3214,-0.21560000000000001,0.49275,0.763745,NS,Concordant Down,TRUE
OGDH,-0.4323,0.1042,0.240773,0.93588,NS,Discordant (Cancer Down / TR Up),FALSE
PABPC4,-0.5358,-2e-4,0.080598,1,NS,Concordant Down,TRUE
STUB1,-0.5242,-0.0118,0.121958,0.999365,NS,Concordant Down,TRUE
SHMT2,-0.3823,-0.1537,0.383473,0.881021,NS,Concordant Down,TRUE
ACADVL,-0.4726,0.0632,0.116413,0.974404,NS,Discordant (Cancer Down / TR Up),FALSE
EEF1A2,-0.5157,0.0201,0.084682,0.997777,NS,Discordant (Cancer Down / TR Up),TRUE
NDUFB7,-0.4487,0.0863,0.382145,0.970982,NS,Discordant (Cancer Down / TR Up),TRUE
UFM1,0.4683,-0.0651,0.093501,0.970029,NS,Discordant (Cancer Up / TR Down),FALSE
RABGGTA,-0.4022,0.1312,0.158564,0.862881,NS,Discordant (Cancer Down / TR Up),TRUE
MESD,0.2674,-0.2658,0.737104,0.742325,NS,Discordant (Cancer Up / TR Down),TRUE
NONO,0.4086,-0.1229,0.354829,0.923586,NS,Discordant (Cancer Up / TR Down),TRUE
KRT1,0.2698,-0.2614,0.898725,0.882489,NS,Discordant (Cancer Up / TR Down),TRUE
IARS1,-0.4019,0.1285,0.334408,0.936286,NS,Discordant (Cancer Down / TR Up),TRUE
RPLP2,0.3729,0.1574,0.384614,0.849779,NS,Concordant Up,FALSE
POLDIP2,0.4606,-0.0684,0.350111,0.983855,NS,Discordant (Cancer Up / TR Down),TRUE
APEX1,0.2508,0.278,0.576941,0.390348,NS,Concordant Up,FALSE
ADHFE1,0.2171,0.311,0.873004,0.679245,NS,Concordant Up,TRUE
TIMM13,-0.4757,-0.0522,0.336099,0.989926,NS,Concordant Down,TRUE
ESAM,0.4761,-0.0518,0.375303,0.991308,NS,Discordant (Cancer Up / TR Down),TRUE
DCTN1,-0.3115,0.2163,0.182135,0.396806,NS,Discordant (Cancer Down / TR Up),FALSE
IPO7,-0.4382,-0.089,0.171222,0.947123,NS,Concordant Down,FALSE
NRBP1,-0.1296,0.397,0.941141,0.491257,NS,Discordant (Cancer Down / TR Up),TRUE
PCYOX1,0.2177,-0.3088,0.664493,0.279176,NS,Discordant (Cancer Up / TR Down),FALSE
ENO3,-0.3908,0.1352,0.413916,0.907356,NS,Discordant (Cancer Down / TR Up),FALSE
DHTKD1,-0.32,-0.206,0.671483,0.858467,NS,Concordant Down,TRUE
SYNPO,0.3046,0.2201,0.666512,0.810709,NS,Concordant Up,TRUE
RPLP1,0.4695,0.055,0.157413,0.982791,NS,Concordant Up,FALSE
WDFY1,0.3121,0.2121,0.724328,0.850906,NS,Concordant Up,TRUE
UQCRC2,-0.2817,0.2424,0.613036,0.637664,NS,Discordant (Cancer Down / TR Up),FALSE
ADK,0.4686,-0.0553,0.09978,0.97991,NS,Discordant (Cancer Up / TR Down),TRUE
COX4I1,-0.275,0.2484,0.588171,0.577633,NS,Discordant (Cancer Down / TR Up),FALSE
IDH3B,-0.3061,0.2172,0.463514,0.641292,NS,Discordant (Cancer Down / TR Up),FALSE
L3HYPDH,-0.0917,-0.4313,0.964785,0.279583,NS,Concordant Down,TRUE
STT3A,0.2035,0.319,0.853861,0.583576,NS,Concordant Up,TRUE
PRDX1,0.2875,-0.2349,0.56277,0.626779,NS,Discordant (Cancer Up / TR Down),FALSE
PRKAR1A,-0.4585,0.0639,0.08424,0.969027,NS,Discordant (Cancer Down / TR Up),FALSE
MICOS13,-0.5,0.0221,0.318695,0.998425,NS,Discordant (Cancer Down / TR Up),TRUE
PMPCA,-0.1543,0.3675,0.903826,0.379127,NS,Discordant (Cancer Down / TR Up),TRUE
TNNT1,-0.1901,0.3314,0.941348,0.77423,NS,Discordant (Cancer Down / TR Up),TRUE
EPDR1,-0.473,-0.0483,0.267729,0.989967,NS,Concordant Down,FALSE
ATP5MG,-0.3926,0.1284,0.340972,0.903171,NS,Discordant (Cancer Down / TR Up),FALSE
APRT,0.4568,0.0637,0.252082,0.980234,NS,Concordant Up,FALSE
GRPEL1,-0.1472,0.3721,0.933344,0.633622,NS,Discordant (Cancer Down / TR Up),TRUE
PPP2R5A,-0.4587,0.0605,0.214502,0.982416,NS,Discordant (Cancer Down / TR Up),TRUE
KLHL41,-0.3243,0.1947,0.776032,0.901531,NS,Discordant (Cancer Down / TR Up),TRUE
RCN2,-0.0298,0.4891,0.995945,0.057614,NS,Discordant (Cancer Down / TR Up),TRUE
CRAT,-0.5069,-0.0117,0.136683,0.999344,NS,Concordant Down,TRUE
RPL6,0.2426,0.2759,0.63998,0.446092,NS,Concordant Up,FALSE
GANAB,0.4485,0.0699,0.23719,0.974263,NS,Concordant Up,FALSE
PTPN11,0.4398,-0.0785,0.092639,0.94911,NS,Discordant (Cancer Up / TR Down),FALSE
COQ9,-0.4437,0.0744,0.380904,0.97806,NS,Discordant (Cancer Down / TR Up),FALSE
MYO18A,-0.1826,0.3347,0.858162,0.476918,NS,Discordant (Cancer Down / TR Up),TRUE
USP14,0.3744,-0.1415,0.163939,0.798861,NS,Discordant (Cancer Up / TR Down),FALSE
PHKA1,-0.3768,0.1391,0.433025,0.90105,NS,Discordant (Cancer Down / TR Up),TRUE
LIMS3,-0.3254,0.1901,0.612441,0.879385,NS,Discordant (Cancer Down / TR Up),TRUE
DNM1L,-0.4318,0.0835,0.255728,0.961361,NS,Discordant (Cancer Down / TR Up),FALSE
DEK,0.2926,-0.2222,0.499589,0.671367,NS,Discordant (Cancer Up / TR Down),TRUE
UBQLN1,-0.5136,-8e-4,0.070437,0.999996,NS,Concordant Down,TRUE
SEC23A,-0.3605,0.1537,0.310173,0.819817,NS,Discordant (Cancer Down / TR Up),TRUE
HMGB1,0.4351,-0.0786,0.131997,0.954193,NS,Discordant (Cancer Up / TR Down),FALSE
TKFC,0.3206,-0.1925,0.426118,0.739987,NS,Discordant (Cancer Up / TR Down),TRUE
HDDC2,-0.4676,0.0453,0.481705,0.995143,NS,Discordant (Cancer Down / TR Up),TRUE
QARS1,-0.4102,0.1025,0.288961,0.93864,NS,Discordant (Cancer Down / TR Up),TRUE
PLIN3,-0.3096,0.2031,0.401517,0.647408,NS,Discordant (Cancer Down / TR Up),FALSE
CAMK2G,-0.4199,0.0922,0.344206,0.959244,NS,Discordant (Cancer Down / TR Up),TRUE
TRIM28,-0.3737,-0.1383,0.485431,0.938184,NS,Concordant Down,TRUE
ISOC2,-0.3568,0.1548,0.456244,0.865527,NS,Discordant (Cancer Down / TR Up),FALSE
HCCS,-0.2709,-0.24,0.684218,0.71084,NS,Concordant Down,TRUE
COMTD1,-0.2436,0.2671,0.862641,0.81545,NS,Discordant (Cancer Down / TR Up),TRUE
MME,0.3589,-0.1518,0.436248,0.867155,NS,Discordant (Cancer Up / TR Down),TRUE
PIP4K2A,0.4402,-0.0701,0.52955700000000006,0.984919,NS,Discordant (Cancer Up / TR Down),TRUE
ATIC,0.4201,-0.0894,0.084482,0.923569,NS,Discordant (Cancer Up / TR Down),FALSE
PRMT5,-0.4056,-0.1011,0.182407,0.921091,NS,Concordant Down,FALSE
RUVBL2,0.3458,0.1609,0.474671,0.851102,NS,Concordant Up,FALSE
UBXN4,-0.403,0.1025,0.365999,0.952343,NS,Discordant (Cancer Down / TR Up),TRUE
ANXA6,0.4187,-0.0859,0.194504,0.949479,NS,Discordant (Cancer Up / TR Down),FALSE
TLN2,0.381,-0.1233,0.415034,0.922616,NS,Discordant (Cancer Up / TR Down),TRUE
PPP1R1A,0.3431,-0.1603,0.450805,0.848796,NS,Discordant (Cancer Up / TR Down),TRUE
EIF2S2,-0.3802,0.1231,0.264508,0.891344,NS,Discordant (Cancer Down / TR Up),TRUE
JAGN1,-0.3737,-0.1293,0.350556,0.910128,NS,Concordant Down,TRUE
TACC2,-0.0366,-0.4644,0.993298,0.086125,NS,Concordant Down,TRUE
EIF3C,-0.4539,-0.0468,0.057845,0.983063,NS,Concordant Down,TRUE
PLAA,-0.4646,0.0357,0.226938,0.993994,NS,Discordant (Cancer Down / TR Up),TRUE
EIF3J,-0.4802,0.0199,0.054936,0.997247,NS,Discordant (Cancer Down / TR Up),TRUE
SEC24C,-0.3559,0.1438,0.229812,0.812144,NS,Discordant (Cancer Down / TR Up),TRUE
COX19,0.4004,-0.0986,0.305893,0.944627,NS,Discordant (Cancer Up / TR Down),TRUE
TMED7,0.4389,0.0601,0.254595,0.980616,NS,Concordant Up,TRUE
IRGQ,-7e-4,0.4983,0.999998,0.29229,NS,Discordant (Cancer Down / TR Up),TRUE
AARSD1,-0.3722,-0.1265,0.435831,0.915906,NS,Concordant Down,TRUE
HLA-A,0.345,0.1536,0.497962,0.871851,NS,Concordant Up,FALSE
GCDH,-0.4672,-0.0309,0.363781,0.996865,NS,Concordant Down,TRUE
STXBP3,-0.4045,0.0932,0.302582,0.953684,NS,Discordant (Cancer Down / TR Up),TRUE
MDH2,-0.3145,0.1831,0.433087,0.740142,NS,Discordant (Cancer Down / TR Up),FALSE
MAP2K3,-0.4645,0.0331,0.314856,0.995716,NS,Discordant (Cancer Down / TR Up),TRUE
STAT5B,-0.3077,-0.1898,0.286771,0.601746,NS,Concordant Down,FALSE
IPO9,0.3619,-0.135,0.859731,0.946111,NS,Discordant (Cancer Up / TR Down),TRUE
SDHB,-0.4169,0.0799,0.216121,0.958603,NS,Discordant (Cancer Down / TR Up),FALSE
PRKCQ,-0.3812,-0.1144,0.313662,0.928665,NS,Concordant Down,TRUE
FAM98B,-0.4691,-0.0262,0.290599,0.997382,NS,Concordant Down,TRUE
VPS35,0.328,0.1672,0.512724,0.836166,NS,Concordant Up,FALSE
GET4,0.0304,0.4648,0.997175,0.28514,NS,Concordant Up,TRUE
NDUFS8,-0.4569,0.038,0.434595,0.995421,NS,Discordant (Cancer Down / TR Up),TRUE
PIN1,-0.3181,-0.176,0.388233,0.745942,NS,Concordant Down,TRUE
SRL,-0.4123,0.0807,0.207317,0.956016,NS,Discordant (Cancer Down / TR Up),TRUE
USP47,-0.4869,0.006,0.142232,0.999839,NS,Discordant (Cancer Down / TR Up),TRUE
PDAP1,-0.3413,0.1512,0.448689,0.857382,NS,Discordant (Cancer Down / TR Up),FALSE
LDHD,-0.4035,-0.0889,0.64001,0.980043,NS,Concordant Down,TRUE
SPAG7,-0.3824,-0.1095,0.330687,0.93626,NS,Concordant Down,TRUE
EIF4G1,-0.4802,0.0116,0.075133,0.999152,NS,Discordant (Cancer Down / TR Up),FALSE
PDZK1IP1,0.1758,0.3155,0.948581,0.760095,NS,Concordant Up,TRUE
PFDN6,-0.4769,-0.0142,0.113559,0.998853,NS,Concordant Down,FALSE
MTCH1,0.4612,0.0294,0.20441,0.996221,NS,Concordant Up,TRUE
ERO1A,0.2046,-0.2844,0.88931,0.705389,NS,Discordant (Cancer Up / TR Down),TRUE
SEC22B,0.477,0.0116,0.077594,0.999153,NS,Concordant Up,FALSE
TIMM9,0.1172,-0.3711,0.954546,0.492252,NS,Discordant (Cancer Up / TR Down),TRUE
RTN4IP1,-0.4215,0.0667,0.411994,0.984114,NS,Discordant (Cancer Down / TR Up),TRUE
HARS1,-0.4585,-0.0295,0.078913,0.993819,NS,Concordant Down,FALSE
GABARAPL2,-0.3464,0.1414,0.502085,0.902495,NS,Discordant (Cancer Down / TR Up),TRUE
GSPT1,-0.3505,0.1372,0.178567,0.799235,NS,Discordant (Cancer Down / TR Up),TRUE
ATP5PF,-0.2999,0.1871,0.590841,0.797107,NS,Discordant (Cancer Down / TR Up),FALSE
RAB18,-0.3259,-0.1606,0.457904,0.831994,NS,Concordant Down,TRUE
SGCB,-0.3242,-0.1623,0.530359,0.855003,NS,Concordant Down,TRUE
PDCL3,0.0042,0.4823,0.999917,0.171074,NS,Concordant Up,TRUE
EEF1G,-0.3527,0.1337,0.195905,0.814888,NS,Discordant (Cancer Down / TR Up),FALSE
HNRNPL,0.3921,0.0941,0.358635,0.952308,NS,Concordant Up,TRUE
ABCF1,-0.4497,0.0363,0.237926,0.993807,NS,Discordant (Cancer Down / TR Up),TRUE
IARS2,-0.3494,0.1365,0.311208,0.8504,NS,Discordant (Cancer Down / TR Up),FALSE
SPR,0.1719,0.3139,0.895445,0.565578,NS,Concordant Up,FALSE
GRSF1,-0.3149,0.1708,0.650618,0.899271,NS,Discordant (Cancer Down / TR Up),TRUE
RBBP4,-0.4061,0.0794,0.364848,0.97177,NS,Discordant (Cancer Down / TR Up),TRUE
YWHAH,0.3543,0.1297,0.212348,0.83519,NS,Concordant Up,FALSE
CA3,0.3101,0.1732,0.627401,0.854606,NS,Concordant Up,FALSE
DYNLL1,-0.4064,-0.0767,0.32027,0.96847,NS,Concordant Down,FALSE
FECH,-0.466,0.017,0.267508,0.998793,NS,Discordant (Cancer Down / TR Up),TRUE
SLC25A12,-0.3272,0.1558,0.571226,0.878277,NS,Discordant (Cancer Down / TR Up),TRUE
NARS1,-0.3103,0.1726,0.253671,0.648799,NS,Discordant (Cancer Down / TR Up),FALSE
SDR39U1,-0.2917,0.1902,0.796016,0.894231,NS,Discordant (Cancer Down / TR Up),TRUE
HBS1L,-0.4078,-0.074,0.117314,0.955141,NS,Concordant Down,TRUE
MYH13,0.269,0.2124,0.882006,0.911682,NS,Concordant Up,TRUE
ETFRF1,0.063,-0.4184,0.989184,0.45016,NS,Discordant (Cancer Up / TR Down),TRUE
UBE2V1,0.4419,-0.0393,0.198455,0.991404,NS,Discordant (Cancer Up / TR Down),FALSE
LZIC,0.2971,0.1833,0.414297,0.707204,NS,Concordant Up,TRUE
HDHD2,0.2453,-0.2347,0.68471,0.650775,NS,Discordant (Cancer Up / TR Down),TRUE
DNAJC19,-0.2682,0.2114,0.799517,0.870897,NS,Discordant (Cancer Down / TR Up),TRUE
CAP2,-0.3594,0.1201,0.473642,0.925914,NS,Discordant (Cancer Down / TR Up),FALSE
RPS4X,-0.3313,0.1479,0.269806,0.782681,NS,Discordant (Cancer Down / TR Up),FALSE
SNTB1,-0.3782,0.101,0.537338,0.960225,NS,Discordant (Cancer Down / TR Up),FALSE
AGK,0.1766,0.3025,0.867747,0.621393,NS,Concordant Up,TRUE
APOOL,-0.4038,0.075,0.436119,0.976402,NS,Discordant (Cancer Down / TR Up),TRUE
ACO2,-0.3198,0.1588,0.449183,0.819701,NS,Discordant (Cancer Down / TR Up),FALSE
UBE3C,-0.4172,-0.0598,0.22708,0.981627,NS,Concordant Down,TRUE
UFSP2,0.2324,-0.244,0.765238,0.74083,NS,Discordant (Cancer Up / TR Down),TRUE
ECHDC2,-0.1699,0.3064,0.913481,0.715495,NS,Discordant (Cancer Down / TR Up),TRUE
MT-CO1,0.21,-0.2661,0.887,0.798058,NS,Discordant (Cancer Up / TR Down),TRUE
PRKCD,0.0646,-0.4115,0.987429,0.455324,NS,Discordant (Cancer Up / TR Down),TRUE
RPL12,0.3023,0.1737,0.537031,0.802829,NS,Concordant Up,FALSE
CACNA2D1,-0.3996,-0.0757,0.219923,0.960324,NS,Concordant Down,FALSE
QKI,-0.431,0.0439,0.416091,0.993493,NS,Discordant (Cancer Down / TR Up),TRUE
ATP2B2,-0.1043,-0.3704,0.957401,0.397929,NS,Concordant Down,TRUE
ANK2,-0.4075,0.0668,0.162767,0.966429,NS,Discordant (Cancer Down / TR Up),TRUE
PALLD,0.28,-0.1941,0.834792,0.903004,NS,Discordant (Cancer Up / TR Down),TRUE
USP24,-0.3947,-0.0793,0.124793,0.947395,NS,Concordant Down,TRUE
HADH,0.251,-0.2227,0.527507,0.529656,NS,Discordant (Cancer Up / TR Down),FALSE
TACO1,-0.3732,-0.1003,0.596047,0.967129,NS,Concordant Down,TRUE
ATP5PB,-0.2903,0.1822,0.609135,0.804932,NS,Discordant (Cancer Down / TR Up),FALSE
DNAJB2,0.3601,-0.112,0.382696,0.932258,NS,Discordant (Cancer Up / TR Down),TRUE
PPP1R2,-0.2549,-0.2171,0.727998,0.755762,NS,Concordant Down,TRUE
UQCC1,-0.2618,-0.2097,0.817759,0.899505,NS,Concordant Down,TRUE
BCKDHB,0.2585,-0.2126,0.814743,0.850857,NS,Discordant (Cancer Up / TR Down),TRUE
NDUFS7,-0.2791,0.1919,0.765401,0.866007,NS,Discordant (Cancer Down / TR Up),TRUE
NDUFS1,-0.231,0.2388,0.728995,0.638998,NS,Discordant (Cancer Down / TR Up),FALSE
EIF2S1,-0.361,0.1085,0.178165,0.882085,NS,Discordant (Cancer Down / TR Up),FALSE
EIF5A,0.4011,-0.0667,0.190753,0.967832,NS,Discordant (Cancer Up / TR Down),FALSE
SEC31A,0.2998,0.1679,0.62226,0.854792,NS,Concordant Up,TRUE
IVD,-0.4039,0.0637,0.366061,0.980466,NS,Discordant (Cancer Down / TR Up),FALSE
TSNAX,-0.003,-0.4635,0.999954,0.050871,NS,Concordant Down,TRUE
CD99L2,-0.0956,-0.3708,0.949,0.286088,NS,Concordant Down,TRUE
GFM1,-0.4258,-0.04,0.246555,0.991618,NS,Concordant Down,TRUE
PCYT1A,-0.1217,0.3438,0.943476,0.450855,NS,Discordant (Cancer Down / TR Up),TRUE
NDUFA10,-0.2569,0.2081,0.692415,0.746133,NS,Discordant (Cancer Down / TR Up),FALSE
CLUH,-0.4206,0.0443,0.209295,0.989216,NS,Discordant (Cancer Down / TR Up),TRUE
NAPA,0.3223,-0.1422,0.317296,0.810322,NS,Discordant (Cancer Up / TR Down),FALSE
SCRN2,0.182,-0.2823,0.844744,0.539816,NS,Discordant (Cancer Up / TR Down),FALSE
PECAM1,0.3307,0.1336,0.502827,0.892127,NS,Concordant Up,TRUE
RTN3,0.4107,-0.0535,0.542512,0.991481,NS,Discordant (Cancer Up / TR Down),TRUE
CSTB,0.3338,-0.1302,0.469347,0.896585,NS,Discordant (Cancer Up / TR Down),FALSE
PDLIM3,-0.4211,0.0428,0.279577,0.990624,NS,Discordant (Cancer Down / TR Up),TRUE
SMIM20,-0.4512,-0.0124,0.297403,0.999384,NS,Concordant Down,TRUE
RPL7,0.262,0.2015,0.620498,0.714772,NS,Concordant Up,FALSE
RAB7A,0.3129,-0.1501,0.307642,0.769264,NS,Discordant (Cancer Up / TR Down),FALSE
EYA3,0.3114,-0.1515,0.666748,0.90332,NS,Discordant (Cancer Up / TR Down),TRUE
LSM3,-0.3003,-0.1622,0.694639,0.907211,NS,Concordant Down,TRUE
CLINT1,0.3309,-0.131,0.639901,0.932527,NS,Discordant (Cancer Up / TR Down),TRUE
RPL7A,-0.3084,0.1534,0.484265,0.833906,NS,Discordant (Cancer Down / TR Up),FALSE
RAB14,0.4243,-0.0374,0.168981,0.991407,NS,Discordant (Cancer Up / TR Down),TRUE
CUL1,-0.3727,0.0883,0.358415,0.95382,NS,Discordant (Cancer Down / TR Up),TRUE
ELOC,-0.4039,0.0567,0.276976,0.98155,NS,Discordant (Cancer Down / TR Up),FALSE
MRRF,0.0713,0.389,0.983333,0.544405,NS,Concordant Up,TRUE
VPS25,-0.1804,0.2797,0.827651,0.523279,NS,Discordant (Cancer Down / TR Up),TRUE
GAMT,-0.4252,0.0339,0.349328,0.995082,NS,Discordant (Cancer Down / TR Up),TRUE
ALDH6A1,-0.1221,-0.337,0.950388,0.519665,NS,Concordant Down,FALSE
LSM6,0.3871,0.0704,0.259463,0.965558,NS,Concordant Up,TRUE
TMEM205,-0.4176,-0.0397,0.241301,0.991172,NS,Concordant Down,TRUE
LAMB3,-0.3021,-0.1551,0.611955,0.892569,NS,Concordant Down,TRUE
VDAC3,-0.3358,0.1212,0.504116,0.919386,NS,Discordant (Cancer Down / TR Up),FALSE
HYOU1,0.3057,0.1512,0.589885,0.874864,NS,Concordant Up,FALSE
SPRYD4,-0.2798,0.1771,0.711884,0.857861,NS,Discordant (Cancer Down / TR Up),TRUE
MAPK3,0.2979,0.159,0.614326,0.86732,NS,Concordant Up,TRUE
CUTA,-0.4476,0.0087,0.140158,0.999575,NS,Discordant (Cancer Down / TR Up),TRUE
YWHAE,0.3138,-0.1423,0.462847,0.856065,NS,Discordant (Cancer Up / TR Down),FALSE
EIF3D,-0.4184,-0.0377,0.17486,0.9914,NS,Concordant Down,TRUE
NACA,-0.4399,-0.0161,0.109612,0.998273,NS,Concordant Down,FALSE
