"","uniprot_id","protein","gene","description","Ensembl","CR006_T1","CR006_T2","CR007_T2","CR008_T1","CR008_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44"
"Q99460","Q99460","PSMD1_HUMAN","PSMD1","26S proteasome non-ATPase regulatory subunit 1","ENSG00000173692",18.8382457425671,18.5431092626278,18.9104284223454,18.330163394086,18.7918976625144,18.7719221518994,18.6183397542643,18.9901075168534,18.505985499441,18.7581704211058,18.8607925484533,19.0925400613685,19.2226457911641,19.6661180563756,19.386695848247,19.3462069948291,18.8394902023763,18.9443308902594,18.8850528824672,18.848268882672,18.6136434985795,19.0487464467764,18.9017577449495,19.2966552790728,18.3876432172837,19.0697366083374,19.0053807077127,19.4950814487962,19.0967493621202,19.0883734578521,18.8739771904377,18.8601310705946,19.3965161889299,18.9805596449443,19.251319988765
"O60925","O60925","PFD1_HUMAN","PFDN1","Prefoldin subunit 1","ENSG00000113068",18.8588851485931,18.1603472387818,18.2358018835057,19.0745382140626,18.5680737128407,18.9557756062859,18.8952629231081,18.7132318259369,17.5584060176146,19.2299891501258,16.9575812104973,19.2286725992839,NA,NA,19.2458051067681,19.0163150778738,18.4682025533712,19.1122500735473,19.1687481287814,NA,NA,19.2741614616878,18.94921485441,18.6790380051878,NA,19.9341802303816,19.4125496030806,19.2901611445396,19.1373550949367,19.3635719441643,19.0566563468448,19.3527728687254,19.2565966213251,18.7724452200809,19.0168878262506
"Q8NBX0","Q8NBX0","SCPDL_HUMAN","SCCPDH","Saccharopine dehydrogenase-like oxidoreductase","ENSG00000143653",19.3488224189846,18.6374896449252,19.1428641601407,19.3651060668914,19.6958714751416,18.754728066478,18.6698664225792,19.0157103109754,18.6104308106449,18.6250045140796,19.2672244591331,18.7074125386427,19.3025033632122,17.9005596011528,18.9006217748966,18.9231670143328,19.1146779168585,19.2092466721714,18.7184523134487,18.6336413038132,18.6920023711437,19.05836386326,19.2113493495587,18.6623229145022,18.6926013924274,18.7705966432487,19.547346173625,19.3599532176937,19.3214760914938,19.346874999574,19.4016370383704,19.6407759897437,19.1521703733666,19.366238529284,18.3433106709974
"Q14BN4","Q14BN4","SLMAP_HUMAN","SLMAP","Sarcolemmal membrane-associated protein","ENSG00000163681",18.9232320601436,18.8250276486477,18.6173261272861,17.7649741071819,18.1545189906822,18.7285077937765,19.0148014809877,18.8176489392559,NA,19.5569457215839,19.5761612942065,19.35279839976,18.9098260849814,18.0356911970145,18.271658325808,18.2551035728572,18.2269182071492,18.7761558138382,17.7342850156862,19.267371188412,18.7972551979135,18.8506901311485,18.8668163357366,19.6341546410682,18.1132683747872,19.9438986647507,18.7095834131369,19.448952981587,19.4789527084648,19.7293349208845,19.8891416439772,19.0129775847628,19.4513047794931,19.286884725901,19.2790110386898
"Q92947","Q92947","GCDH_HUMAN","GCDH","Glutaryl-CoA dehydrogenase, mitochondrial","ENSG00000105607",18.7077348292978,NA,18.6276720298262,19.6838093747874,20.4805693952071,18.9123432189793,18.4870034572799,18.3745874612716,18.3266315528448,18.9070941429457,18.4170464785246,18.4464347524464,18.5575695121711,NA,NA,18.2571868549784,18.4824052490538,18.7018286365082,NA,NA,NA,19.6830204776444,19.1377002806927,18.3643245645837,18.9985625872597,NA,19.412377824319,18.9151559931819,19.1771485778617,19.3194168349668,19.4858364321251,19.2958354067171,18.4178592862254,19.6772601870674,18.8255551223461
"Q99685","Q99685","MGLL_HUMAN","MGLL","Monoglyceride lipase","ENSG00000074416",NA,NA,18.4999845341856,18.0319703405558,18.6106129651784,18.5206551747062,17.908033689731,18.771139921247,20.5706801139469,17.4586747901581,18.6841313698715,16.649444002907,NA,18.9587967419009,17.729712079557,18.6884634332147,18.2936355921877,19.2565015476379,18.7240301930225,NA,18.0006050180748,17.7749044273594,17.5218324281366,17.3880681972282,19.453121493899,17.490225509673,17.1324017651442,17.6085598214175,17.6205928520753,16.9315780272186,17.6258251881492,17.3609087381909,16.8585796125113,17.5290981744834,17.283162903221
"Q0VDG4","Q0VDG4","SCRN3_HUMAN","SCRN3","Secernin-3","ENSG00000144306",19.8931695687589,18.6496600704929,19.0773353831977,19.2322753281043,19.5988427188457,19.8687210902996,18.0554063335438,17.8383099595313,17.2605516631539,18.7390373158639,18.5021096600653,19.6420766628205,19.7710307573692,18.7921997612458,18.4737253728565,NA,18.4331705197245,19.1974434013774,NA,18.2661384566195,19.010094064018,19.0721617768193,18.3186134745998,19.4646950072774,18.5425415338116,18.6737848490588,18.8662433292236,19.0582605897485,18.6837311438247,18.2518465918943,18.8834258774977,19.1247062222724,19.5593565836873,19.5438767302039,19.4389740778942
"Q9BV79","Q9BV79","MECR_HUMAN","MECR","Enoyl-[acyl-carrier-protein] reductase, mitochondrial","ENSG00000116353",19.1263844734522,18.71087078396,19.4235067902917,20.1373113902439,20.2639861822691,18.7371528277,18.7566914561422,18.9015751261003,17.6448859926495,18.7429958332344,18.5418517480669,18.3940935796115,19.0791604050784,NA,18.8719825504549,18.7235511377744,18.8039009683624,18.6096302540618,18.1258816745636,18.3501669480666,18.2089476823071,19.4757522723699,19.3386258677059,18.7706311318665,18.9763614109183,18.2011360760141,19.0160089737634,19.6927484835906,18.9636688132737,19.1575639534306,19.1399153046772,19.5244147217116,19.1094759365954,19.2749382872659,19.3561644910818
"Q12931","Q12931","TRAP1_HUMAN","TRAP1","Heat shock protein 75 kDa, mitochondrial","ENSG00000126602",18.7253919537357,18.5988678786216,19.2011064289675,19.6987677321545,19.8583193768014,18.8956150496407,18.6451652315021,18.7713639445585,17.6705623261473,18.6453580804943,18.4579647684756,18.3293320500315,18.6580737709284,18.558173877894,19.022894202862,18.8746794830165,18.9154567756025,19.0826671322122,18.2461201502489,19.2528761855927,19.0476786908192,19.4673294650684,19.6272753671231,18.6689278566615,18.5612493744654,19.078076542538,19.5442891287023,19.8218918013822,19.2357761765814,19.356485538707,19.1676754260235,18.8572890446136,18.9074450735221,19.1808633447472,19.1998763602416
"O43583","O43583","DENR_HUMAN","DENR","Density-regulated protein","ENSG00000139726",18.8737992774625,NA,18.6427167147308,19.3353885703737,18.9763426021271,19.2423910019857,18.4646354703519,18.1087792790802,NA,18.8756267775541,18.6039793014127,19.0884553100342,18.1171259590097,NA,17.9882985559184,NA,18.4488781455873,19.2220156215724,NA,NA,19.3644690554899,18.926966661623,19.3647295736285,19.3603944572457,17.7662617051864,19.3407106365652,19.3084529647729,19.2375946387739,19.2537770193106,18.9962662885467,19.2168257336831,19.4257575467668,18.7181730056986,19.4109489594856,19.7365128334251
"O94919","O94919","ENDD1_HUMAN","ENDOD1","Endonuclease domain-containing 1 protein","ENSG00000149218",18.6825947812193,18.8184511185698,19.3827988413247,18.574465664609,18.5846628563336,18.9984624939426,19.1127815367636,19.1101949140724,18.6372653466869,19.3595437585112,19.1945542724136,19.1477222473098,19.2783199400263,18.2413353701645,18.7341285961187,18.531623885792,18.6995733607264,18.9060518190109,18.246811154045,18.7039126089267,18.9272982774755,19.1175393651314,18.7582179199097,18.9944201361456,18.911269503277,19.6052879747723,19.2828594005901,19.4895166629737,19.1232701783414,19.4656815155491,19.4447780871226,19.2140922243424,19.6537924484002,19.7904802669854,19.2604877749389
"Q9H8M1","Q9H8M1","CQ10B_HUMAN","COQ10B","Coenzyme Q-binding protein COQ10 homolog B, mitochondrial","ENSG00000115520",18.4757859676333,19.1600676396087,20.3116810985465,20.7575800388624,20.0738520673256,18.1060329165909,17.9932509020621,17.5743776792096,16.9368211836594,19.207073475033,18.9164180180728,18.8779671055355,18.5871430839186,17.988114046113,18.1342218191019,17.2639383976641,17.4788548069275,19.3354870818098,NA,18.979633942072,17.5646433167666,19.3956201789231,19.7826560733492,18.7700396066047,19.2368604268575,NA,17.5778405622147,19.2701548939225,19.2992397420095,18.9406251016977,19.1672286078862,19.6882564087004,17.8768670046023,18.2045881067707,18.1943042790696
"Q15019","Q15019","SEPT2_HUMAN","SEPTIN2","Septin-2","ENSG00000168385",18.4097078228311,18.7814714514171,18.5838025623886,18.464326657052,18.6609744497793,18.9648103397032,18.6737782684178,19.0829790545533,20.2740593959062,18.3338331499984,18.3796865126131,18.1033061153948,18.4910189248361,18.8480887016903,19.1054158732484,18.955908504113,19.4779795647777,18.958602684761,19.9868436591499,18.2657431704063,18.8294123177424,18.4358674791677,18.1267222628217,18.6735240948084,19.2443000598892,18.0798306127191,18.8102538874304,18.2158967706612,18.3431683859202,18.1379334788838,18.3315887107394,18.5810664597722,18.0500958705882,18.3940886717115,18.4625179027676
"P61086","P61086","UBE2K_HUMAN","UBE2K","Ubiquitin-conjugating enzyme E2 K","ENSG00000078140",18.9946186813463,18.8692944063089,19.1537760374735,19.2083266053628,18.7174327799345,18.9479562642403,19.2745731697462,18.6375421973953,18.1867658118155,18.7499516897357,18.9195830482075,18.7064437844661,19.03393838147,19.0358980626523,19.0672900881525,19.1266700433192,19.1331592665905,19.1104062253084,19.0740885886423,18.9020967859535,19.0510521875805,19.0852510582005,19.1824150629817,19.0997402177209,18.4301759553696,19.206435757921,19.2373110690172,18.8727291355578,19.1979511347004,19.0702920650077,18.9290165969133,18.9048860626335,19.0301220310871,19.2792061532715,19.4878257456687
"P07814","P07814","SYEP_HUMAN","EPRS1","Bifunctional glutamate/proline--tRNA ligase","ENSG00000136628",19.0606953946229,18.9898003746312,19.37181506206,19.1445934826744,19.1208648395921,18.933352835388,18.952110516205,19.1101878767054,18.5488750550166,18.7500999901017,18.8350256548691,19.1364701708874,18.6778099840766,18.1899163322754,18.8005273470481,18.5460171181437,18.8230851346386,18.690922941591,18.5830422364382,18.7580117959174,19.0681092529465,18.9616605559348,19.0530110415913,18.830534298393,18.658304637466,19.2854614120424,19.1998705404802,19.4105522890456,19.4101702999265,19.4188616064157,19.2701752555148,19.1512897723882,19.1419395705509,19.1067065826539,19.2005114721471
"Q13098","Q13098","CSN1_HUMAN","GPS1","COP9 signalosome complex subunit 1","ENSG00000169727",18.9805996067706,19.0420124876581,18.8152340419165,18.7733191150277,18.7816715943149,18.7543698420735,19.0403457453851,18.7700094877147,18.3492359867846,19.44968215436,19.1261794388689,19.1983240787847,18.9791886136446,18.9669541027064,18.7728818038527,18.4219221396923,18.4676833433259,19.2096068286543,18.1053445954448,19.4255998490333,19.079619734661,19.1118047893162,19.2227618714167,18.99369683826,18.896425149405,19.6114814799524,19.236861114653,18.6581629790957,19.2517756568355,19.5352124794791,19.3735464426874,18.8452110536344,19.4503772709804,19.2255255172472,19.1626362096933
"Q9NVE7","Q9NVE7","PANK4_HUMAN","PANK4","4'-phosphopantetheine phosphatase","ENSG00000157881",19.277298009727,18.9224649620412,19.0512174930598,19.5828280831201,19.4117464901804,19.2099555166589,18.9712119433229,18.5311929651552,17.9298080261025,19.1271342249132,18.9209594701691,19.1018360371974,19.0894660268086,18.1671605208414,18.7906400448001,18.3291079385237,18.6859271443983,18.8227006048898,17.8054272298551,19.1675223190309,19.0144102050119,19.3162556164966,19.3523863723536,18.9758810210539,18.1989741187308,19.3893041065864,19.355892844215,18.9364655785123,19.4764636136015,19.319390140523,19.1483432638415,19.2744990311053,19.0251705059634,19.2703576322616,19.3736511190787
"O43390","O43390","HNRPR_HUMAN","HNRNPR","Heterogeneous nuclear ribonucleoprotein R","ENSG00000125944",18.8242546853296,19.4898713872292,19.0207844193549,18.6035897918099,18.2852655128118,18.5826641442171,18.6771428765395,19.1324339095766,19.5968429664607,18.8074498179081,19.0441795466166,18.4536811314984,18.5499320531097,18.6613205921671,19.0160271191945,18.8903220610592,19.293905366829,18.6722519316118,19.3467678733976,18.7557064443618,18.9235573480028,18.6638469502397,18.5318717164459,18.9072734703424,18.9187508801168,18.1686266036309,19.1918393302372,17.9099095444204,18.5393009523704,18.7652964589026,18.5738061098161,18.7600403041634,18.4816126450075,18.0774382440819,19.0546093599937
"O95782","O95782","AP2A1_HUMAN","AP2A1","AP-2 complex subunit alpha-1","ENSG00000196961",19.0042449191599,18.581645840511,18.6843800970681,18.423235746747,18.7844471781431,18.9348255235229,18.2637728718996,18.9089266062436,19.4788608057595,18.6579463072403,18.7473674774596,18.4912455858226,18.9366657678264,19.900161760583,19.0137068164016,18.3338955492921,18.9786310541894,18.9737826355729,19.4691393796742,18.8070866795152,19.0306450704503,18.5451615708987,18.1303307405989,18.4170544244458,19.0331702050581,18.3593488477833,18.4310559112727,18.3917769475396,17.9801284204475,17.9870034732428,18.2040595779809,18.1276841731435,18.2323417467233,17.9085466508352,18.5141206879121
"Q6XQN6","Q6XQN6","PNCB_HUMAN","NAPRT","Nicotinate phosphoribosyltransferase","ENSG00000147813",19.2380401868093,17.8559624199118,19.0751048421013,18.654758537361,18.997234124686,18.0733522500804,19.1939347074461,18.7655108542387,18.64302352054,19.2885400870351,19.2989875190002,18.7384667423103,18.2655062769793,19.8012332776772,18.9951833699805,19.5829130270381,18.4961465528196,18.2490073324858,19.1541967577787,19.2174516909658,18.7986792551645,19.0670141733853,18.9565775964988,18.7602664226297,18.8166826357396,NA,18.985075908226,18.0711616142834,17.4090482761522,18.906211013906,19.0287653251904,19.0278648516856,19.3632370075186,18.911726986535,17.1163481451741
"P12955","P12955","PEPD_HUMAN","PEPD","Xaa-Pro dipeptidase","ENSG00000124299",18.6225002274238,18.4733006745841,18.6267948223881,19.0537580170647,18.7822758485458,18.8860972120396,19.1373539762791,19.0199196594766,19.081121506383,18.8732710489921,18.5935935089562,18.839395090628,18.8350615604807,19.2061310206307,19.060049905516,18.9222522011484,19.1056623289131,18.8809161517617,19.460846044861,19.0608739131911,18.7422600515981,17.8959253546045,18.5673125717741,18.4408578045333,18.8716858112065,18.4927880220335,18.9812959742241,19.0718849264412,18.4111035700804,17.7774789814287,18.6042084778481,19.1364174775327,18.7785106787611,18.8501180460896,18.3067804127749
"P50225","P50225","ST1A1_HUMAN","SULT1A1","Sulfotransferase 1A1","ENSG00000196502",NA,17.9686687663305,18.6848563018622,17.3444818291014,18.473489652267,18.831170604004,17.3714382423643,17.2292055109649,19.7739542966195,17.9926877325796,18.5934392059078,17.6850879460154,17.8942074579018,20.4039757127451,18.5586519660238,19.1607324688941,19.1206515862507,18.0720197495025,19.1301735537661,17.9122304601809,18.7459332470806,17.3048571863189,17.5807441466634,16.8781001257309,19.5096135705174,NA,NA,16.8477326904076,18.0463061441588,17.8699595132479,17.677617709799,16.6353873506316,17.6067254037712,16.4003432505748,17.0690518716493
"P63220","P63220","RS21_HUMAN","RPS21","40S ribosomal protein S21","ENSG00000171858",18.411296699879,19.3108638754118,18.5305641087565,18.4533331127938,18.3790415587423,18.9213742356522,18.8941710241953,18.9686770107867,18.6927248141116,18.8870551545652,19.0104327520151,18.6693658664288,18.7717467995505,18.7891798737798,18.6614592941813,18.6844228235844,19.2354207932837,19.0088554440729,18.4983432383962,18.7993209330584,19.4336138740026,19.0329098383887,18.9437859785657,18.9820663019305,18.5637568259788,18.6676353008666,18.78083829965,18.7341638862532,19.0555975699351,19.0895857047063,18.8332804548365,18.5628815732094,18.8252447247439,18.593203335325,19.095932476812
"Q9NZ08","Q9NZ08","ERAP1_HUMAN","ERAP1","Endoplasmic reticulum aminopeptidase 1","ENSG00000164307",18.3815398679059,NA,18.4517923973571,18.5170922504906,18.3072342023067,18.998515907328,18.9427772904926,18.8204470837487,19.4146768855266,18.4955078460639,18.6688276670198,19.4972461276001,18.8330013480463,19.3353397528569,18.7053106371891,18.825443356062,18.4909497612986,18.5053727251873,17.7282765428972,18.2354601086989,18.4181931944013,18.8313463627004,18.5389956319051,19.8382973002539,18.5200736027993,18.4347332123661,19.3582986460508,17.4141702742382,18.8446338533761,19.3062566471752,19.3322294406254,19.7985360417525,19.7589718160452,19.4555681093244,18.3733578819418
"Q969X5","Q969X5","ERGI1_HUMAN","ERGIC1","Endoplasmic reticulum-Golgi intermediate compartment protein 1","ENSG00000113719",18.8131592489708,19.0207997477372,19.0791071434119,18.2491784363867,17.9184409456231,18.6552454715539,19.2560388831931,19.0913709010206,19.0854391208516,18.6180967730521,18.7235379645719,18.3967345064564,18.2070329336668,19.138906030631,18.5940174467631,18.9567647736819,19.0299267500094,18.576110569049,19.7845839443177,18.8769541499516,19.1434172046759,18.5624911124317,18.1222179655724,18.1619674305832,19.249591113929,18.8847153779567,18.5000721036234,18.4694541576489,18.8158628938543,18.2426958910007,18.8971955634945,18.9746897047463,18.987920837346,18.8935164896573,18.2464848153316
"P62841","P62841","RS15_HUMAN","RPS15","40S ribosomal protein S15","ENSG00000115268",NA,16.2984418237057,19.4615048863041,NA,14.7667625998822,NA,19.3824008666434,19.1299813637234,NA,14.8334526820277,14.8356828202329,15.6634645876351,17.9414731442029,19.700983563352,19.2637265901941,19.1768863213269,19.3664190520608,NA,19.1272957338998,14.7600396774406,NA,15.1216456959576,15.0289211086582,NA,15.5646674514279,NA,14.5363434982513,15.6072053271836,18.2664702427753,15.9962132001686,17.7334368058335,18.571855763864,18.9401520492398,18.4473362487214,15.7077440473042
"Q99541","Q99541","PLIN2_HUMAN","PLIN2","Perilipin-2","ENSG00000147872",18.9375794000111,18.5678073604665,19.9221676583945,18.5256944898483,19.0735627666268,18.5060116929598,18.6299153783514,17.6770635295593,NA,18.704793332086,18.1165079005505,19.087734629269,18.4085157295992,18.0913431110445,18.7826328594144,18.500883173292,18.8591718667508,17.8717883036257,17.0034932544132,19.7792427534979,19.1503522481498,19.0820229722868,19.0208026151111,18.1980098173367,17.7845784030811,19.9867436065742,18.7525167099845,18.312492899947,18.1174534435999,18.1919580534955,19.9794546635912,17.8080275098514,18.9334514051812,20.5123235021691,19.0500937088987
"Q12805","Q12805","FBLN3_HUMAN","EFEMP1","EGF-containing fibulin-like extracellular matrix protein 1","ENSG00000115380",17.353640471717,18.5063433886412,17.8107838005439,17.791257615013,17.2352707748842,18.5637730046307,18.2735954781556,18.7398173622553,20.5181920015718,17.6407608225351,18.8922656829354,17.4132407249255,17.9062788404102,19.1507565565358,18.7573220893412,18.7193292082217,19.6550646433716,18.6228462570668,19.4912559178589,17.7782147380282,18.6410401619885,16.8303660749861,16.7786220299628,17.1732114562978,19.5733457677134,NA,17.2364275410532,16.6043374160904,16.3409936953192,17.1824138463783,17.1060021018549,16.6372985216292,17.0907814253639,15.87287342909,16.8654625165535
"P26440","P26440","IVD_HUMAN","IVD","Isovaleryl-CoA dehydrogenase, mitochondrial","ENSG00000128928",18.9985187906172,19.0320883048197,18.1032880695895,19.4201710192573,19.9215970845674,18.3775499817943,18.625040618833,18.6230335160618,18.2092498426103,19.2378983986231,18.8319830243775,18.9548096647595,19.1887428666648,18.7583860231541,18.7893907135215,18.5135664935905,19.0128219546571,19.0946010478097,18.5919485524862,18.4932116692325,18.7751076858434,19.3908194890355,19.0070517360158,18.9684878338281,18.4627927147641,18.0992135560101,19.4433920141524,19.7210064500641,18.6887919411146,18.7438048454235,18.5233066471129,19.8618617728899,18.9462792812567,19.2166398220984,19.4437922426185
"P18621","P18621","RL17_HUMAN","RPL17","60S ribosomal protein L17","ENSG00000265681",18.8035293725036,18.0861647972504,19.2286169540674,18.9187295898248,18.1550245880366,18.5294723946299,19.1520267752827,19.0469895901642,19.3315186330148,18.0410225879085,17.6251360673208,18.6396140240069,NA,17.9558664964482,19.1431000338376,19.2632269116656,19.2344994980469,18.7453423959554,19.1806650185047,NA,NA,18.0953822536474,18.3591380911521,18.3955619930898,18.918955678734,17.7041248379946,18.1204371826448,17.4457920444335,18.9450600630957,18.2832657855331,18.9122902104828,18.5054176917486,19.2152820516441,18.7351280315215,17.8594038539395
"O60506","O60506","HNRPQ_HUMAN","SYNCRIP","Heterogeneous nuclear ribonucleoprotein Q","ENSG00000135316",18.0750142902446,18.9699025836032,18.6171505127638,18.6972790458826,18.9864399402852,18.9922055843857,18.4571396654299,18.8722864772967,19.2649289009011,18.7013375057463,18.8947479619433,18.7614286609358,19.4449468595658,18.1797030690102,18.8075545942418,18.7919329642355,19.2892425156954,18.7683585156482,19.2048021108401,18.4190191017486,18.6093680909281,18.2670998305911,18.7963815280995,18.3733837793167,19.3713029079722,18.2871171724428,18.8710800050627,17.8155903345492,18.4943187703772,18.8696780731568,18.210373866146,18.5224186243894,18.3150398567367,18.0533100372018,19.1013931482373
"P26599","P26599","PTBP1_HUMAN","PTBP1","Polypyrimidine tract-binding protein 1","ENSG00000011304",17.4164294396425,NA,17.3982355722236,17.8648336406749,17.9962988201938,18.1124735218021,16.6179658802822,18.6980529451016,19.8444195292802,17.4457336128975,17.5383816684355,16.9057928261969,18.5899887917868,19.0660831884635,18.1977726716644,18.7389306295757,18.7012584211477,18.0909807804195,19.3252334912509,18.4420458842794,18.4047802721232,16.9538730358012,17.4888986252349,16.4184834902578,19.2448350311479,17.077832920981,16.4622299044905,NA,16.9758958183856,16.5564001086668,16.808483930775,16.4405591646976,16.4179702185495,16.5405855785275,16.5637033992935
"P62241","P62241","RS8_HUMAN","RPS8","40S ribosomal protein S8","ENSG00000142937",18.4426753077318,18.9711883994302,18.6681638476368,18.6344519828339,18.9623370522088,18.9618214503242,18.7932403711725,19.0730976148534,18.6780497352111,18.6765208364051,18.1472591626967,18.894441564944,18.3454479625733,18.6903282994022,18.672646061859,18.9844103332604,19.4317106952954,18.7877558372302,18.9493945004395,18.2088097961006,18.5080828658209,19.0563708632778,18.6792004004469,18.7739116814852,18.746515047118,18.8979174130531,18.5194165167715,19.6760922935341,18.9544681611931,19.2693728534253,18.9824590885088,19.2477364447499,19.0349035602832,19.2759722734472,18.7644863832687
"Q8WW59","Q8WW59","SPRY4_HUMAN","SPRYD4","SPRY domain-containing protein 4","ENSG00000176422",17.9060481051021,18.913154570056,19.0121191576144,19.8415587585355,19.995999527161,18.8217186133598,18.4535146865351,18.4219106122612,17.6431399803025,18.5467308986398,18.5167907617934,19.308409005755,19.2914241725743,19.395140064928,18.600645698958,17.8208600465351,18.1564267372188,18.3571175235028,17.6175281441273,18.8730015339679,19.6833877141307,19.9079259680356,19.1662104543235,18.4997479838696,19.4811519655897,18.4964049818873,19.0444611635308,18.7191934800422,19.038920209798,18.0812240802101,18.9797691684419,19.5373754157867,18.6067399440099,19.387057001705,19.0328001770368
"Q9NY33","Q9NY33","DPP3_HUMAN","DPP3","Dipeptidyl peptidase 3","ENSG00000254986",18.8380341837461,18.3548382542682,18.7318505372367,18.6606889361746,18.8584693435666,18.5712200498159,19.0045737607794,18.7873972882876,18.8449657760495,18.4154741176773,17.9164500590209,18.8918091547384,19.1096213451372,19.521709112221,18.8994749334578,19.0495841954891,18.5492541473251,18.5490214113932,19.3693915629775,19.2788009315185,18.5889206871518,18.9005589694708,18.7507259403496,18.9512881514332,17.9986760497193,18.6906226522777,18.9884505827068,18.968941125598,18.7837402876643,18.2545763290479,18.4222464549495,18.1387032513692,18.85722365042,19.2802228378592,18.4348739762408
"O14618","O14618","CCS_HUMAN","CCS","Copper chaperone for superoxide dismutase","ENSG00000173992",18.5212188496383,18.2990870168993,19.3496527473943,18.0122591020874,17.7455401838955,NA,18.730292651527,18.73256533924,19.096583688149,18.8924564395139,17.4072246760665,17.9854326650852,19.2185227127907,19.8600985393546,19.4250347649437,20.311490250551,18.7552611240023,18.7644094787861,20.0462303557838,19.558059041712,16.8447066066975,18.2713207808751,18.4850391754114,17.4739949146697,19.1332299989985,17.2784620559801,17.9383521785821,18.0079760814024,17.8542651826671,17.3464986189491,17.7070465870436,18.0226554424078,18.4025064808941,17.50216880569,17.0803988112051
"P03928","P03928","ATP8_HUMAN","MT-ATP8","ATP synthase protein 8","ENSG00000228253",19.208754853805,19.0553199512417,18.4097347444482,20.782390706641,20.308206764754,17.4355566201086,17.5083751328317,17.9202812922521,NA,18.2930260359972,18.4050617959007,18.4178928663714,18.5360858552637,NA,18.1381801375608,17.5175547984895,18.4973675752286,17.9288976002491,17.5062454813132,18.4104881726673,18.810192385892,19.5673689437251,19.4490506065818,18.4795896147564,18.0855791101769,17.7620640724734,19.0754942433625,19.406505268138,19.4978101866326,19.71989888219,18.5380918707023,19.9261207950768,18.003301600567,19.3034675419943,19.4441564409908
"Q9NX40","Q9NX40","OCAD1_HUMAN","OCIAD1","OCIA domain-containing protein 1","ENSG00000109180",19.0307668041745,19.1412070915443,18.5141382574298,19.3044174812396,19.3299057258661,18.3660075133804,18.5682292095795,18.6934219144244,NA,18.5191723017225,18.5366462490443,18.7253434013894,18.9559830414921,NA,18.3720372257452,18.3455242938433,18.6836437288203,18.4397015918745,NA,17.9396301543747,17.9477180615584,19.5065930679329,19.1697838114482,19.0649705310895,17.9806230685673,18.6811174064816,18.7874748445885,19.0092423743723,19.4149096116655,19.9360606134944,19.2094728916408,19.3953705082084,19.2602332375247,19.2010574434904,19.259513480595
"Q9HBL0","Q9HBL0","TENS1_HUMAN","TNS1","Tensin-1","ENSG00000079308",18.2952336689282,18.2189573151504,17.8794473791275,18.2331708420553,18.0943079704351,18.2635530250803,17.9496313028918,18.643102110819,20.2735431754916,18.0298753567966,17.8279039279422,17.7420715078696,17.5983215955028,18.9707426349499,18.2355926667118,18.8511258895817,18.6552199368086,18.3148095941118,18.4650705274391,17.7727674318198,17.7661802180628,17.7772865737498,17.6359217336512,17.803928053974,19.0107554356294,17.3230200369444,17.6235095165606,17.0477287672917,17.9800080120822,18.0042077221569,17.7666466547122,17.860598330452,18.1638391802196,17.4612593252485,17.7688625184364
"Q14152","Q14152","EIF3A_HUMAN","EIF3A","Eukaryotic translation initiation factor 3 subunit A","ENSG00000107581",18.6882225873211,18.7720192147261,18.9821801223936,18.9783886739954,18.6064221558543,18.8650112670981,19.0642477239249,18.9272418165533,18.940301975904,18.941529214177,18.6254944216985,19.1681165555025,18.3219484634682,18.5111800283238,18.7557876748489,18.5437821425774,18.8588934156585,18.884607757722,18.606820191188,18.6841192781862,18.711918988804,19.1342113699724,18.980783229781,19.0458556686601,18.7632571285124,18.8986842499896,18.8833994433426,19.5245395263049,19.2168643974255,19.3808832231268,19.3727381275538,18.8640746314743,19.0896052106098,18.9559664188936,19.0911902172965
"Q00577","Q00577","PURA_HUMAN","PURA","Transcriptional activator protein Pur-alpha","ENSG00000185129",18.71366714502,20.0499116841634,18.5610163979854,18.577940497708,18.2480397161082,18.8569873068411,17.9566849395884,18.7401190882807,19.0553159103368,18.9892397395023,19.1325675106347,19.2063236166143,18.7341019285301,19.4956035909908,18.2310670345213,17.6478845381071,18.7220415648786,18.5521246279906,18.5852287339478,18.9143806337118,18.656643609406,18.5337613756999,18.2463783369288,18.529740648771,19.539945394447,19.0448810129108,18.7227955208966,17.8302372720249,18.9729333734107,18.9117606129964,18.9042517779274,18.7122252692342,18.5031640101903,18.2789794049245,18.7723806738111
"Q9BSJ8","Q9BSJ8","ESYT1_HUMAN","ESYT1","Extended synaptotagmin-1","ENSG00000139641",18.0820162379351,17.670655326492,18.0991817019606,17.8848948483087,17.8971216724453,18.5352640288851,17.82574443116,18.3657208909596,20.1053405577385,17.8412909615756,18.3040908683198,17.5493345173888,18.5440011505416,19.1450763611573,17.909742035058,18.9483576827819,18.6542802575429,18.9293655806005,18.5488654751924,18.3152542508502,17.9055654688259,17.7075335497032,17.4788666937194,17.9918336744621,19.5493637110181,17.5160247110794,18.3184399619773,17.7283758172888,18.1583160477741,17.3412780639805,17.9910233533452,17.9631856745984,17.9225183972279,17.686379236424,17.6408982779996
