"gene","cv_t1","cv_t2","delta_cv","supplement"
"LDHA",28.111383822516,43.5961371180026,15.4847532954866,"Creatine"
"MYL2",47.4480672694898,77.1332858401138,29.685218570624,"Creatine"
"AK1",12.6710587699884,23.2608886645607,10.5898298945723,"Creatine"
"FABP4",92.0714379884055,200.172342775284,108.100904786879,"Creatine"
"FABP3",22.6843658186117,45.5280895110267,22.843723692415,"Creatine"
"ATP2A1",19.7188815964019,35.5137275691222,15.7948459727203,"Creatine"
"CA2",77.3006376650906,154.068343778473,76.7677061133826,"Creatine"
"MDH1",23.1159016347753,29.6222046943673,6.50630305959203,"Creatine"
"SERPINA1",104.670561180594,135.899228107112,31.2286669265181,"Creatine"
"MYH7",57.9113806696121,129.392179761928,71.4807990923156,"Creatine"
"IGHG2",112.691218467113,94.2204175015345,-18.4708009655782,"Creatine"
"PGAM2",17.7891576968024,37.1869621760335,19.3978044792311,"Creatine"
"PYGB",19.2249805047008,26.6839703041262,7.45898979942535,"Creatine"
"PRDX6",17.3559945618974,51.776432716556,34.4204381546585,"Creatine"
"IDH2",48.4621749648154,44.4062929166647,-4.05588204815075,"Creatine"
"MYH2",45.3990756250921,152.808474647211,107.409399022119,"Creatine"
"ATP2A2",26.99508214289,43.2946695699431,16.2995874270532,"Creatine"
"TF",107.953194354039,121.26582914891,13.3126347948714,"Creatine"
"ATP5F1B",53.9242968955585,41.2207070254984,-12.7035898700601,"Creatine"
"MDH2",46.139454515849,44.7760863628499,-1.36336815299917,"Creatine"
"HP",113.027293366836,131.676853426926,18.6495600600906,"Creatine"
"ATP5F1A",61.4163294025922,31.3462621266177,-30.0700672759745,"Creatine"
"IGLC2",120.917545790681,135.48061055749,14.5630647668092,"Creatine"
"MYH1",60.0319389905075,116.650032863162,56.6180938726546,"Creatine"
"PFKM",6.96908986403802,30.847651447655,23.8785615836169,"Creatine"
"S100A1",31.6282777099962,79.656411701437,48.0281339914409,"Creatine"
"HSPB6",32.6071084316731,26.9160514464109,-5.69105698526216,"Creatine"
"EEF1A1",20.6416307773816,59.6062335138925,38.9646027365108,"Creatine"
"FBP2",27.7561400264171,41.2344336682903,13.4782936418732,"Creatine"
"ARF4",22.7216167064307,37.8445170603006,15.1229003538699,"Creatine"
"SLC25A4",40.684510035369,70.0416152792823,29.3571052439133,"Creatine"
"TNNC2",45.5437426868997,109.37037832721,63.82663564031,"Creatine"
"PGM1",16.4886339101357,28.633509657938,12.1448757478023,"Creatine"
"YWHAE",15.2362296481683,51.9185305384952,36.6823008903269,"Creatine"
"GOT1",40.0579603994911,54.9090360878772,14.8510756883862,"Creatine"
"CKMT2",58.9848763207173,75.3911182963629,16.4062419756456,"Creatine"
"MYL6",31.6669713086952,89.9928851682786,58.3259138595835,"Creatine"
"ATP2A3",38.154533675194,53.650670535623,15.496136860429,"Creatine"
"RPS27A",32.3294660726937,57.2457578300431,24.9162917573494,"Creatine"
"PDLIM3",37.5832718864545,25.7375887146969,-11.8456831717577,"Creatine"
"PEBP1",30.2421227361677,26.3940142825497,-3.84810845361794,"Creatine"
"TPM2",28.9733525498166,153.623864600402,124.650512050585,"Creatine"
"SOD1",18.7272412963497,72.9413621702219,54.2141208738722,"Creatine"
"ORM1",94.0141863731572,121.792637349105,27.7784509759474,"Creatine"
"GPI",19.3295096661009,18.5550830117737,-0.774426654327268,"Creatine"
"TUBB",26.0155108044108,84.9755984306016,58.9600876261908,"Creatine"
"PARK7",20.1841681783422,19.9499863613753,-0.234181816966885,"Creatine"
"GOT2",55.3004066134515,61.67575200863,6.37534539517844,"Creatine"
"MYL3",57.8484955391591,114.668825237339,56.8203296981794,"Creatine"
"MT-CO2",51.2312102176324,23.1904327389148,-28.0407774787176,"Creatine"
"IGHA1",133.819501228541,114.611916745684,-19.2075844828574,"Creatine"
"PRDX1",23.1462636180207,55.5959227029846,32.4496590849638,"Creatine"
"ALDOC",13.6305842211773,26.7482378410978,13.1176536199205,"Creatine"
