gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
PRKG1,-0.566,0.8983,0.310165,0.992867,NS
CMBL,-0.5961,0.8529,0.310197,0.992867,NS
KRT19,0.7622,0.665,0.311288,0.992867,NS
PLS3,0.5848,0.8654,0.311805,0.992867,NS
GYPC,0.5911,0.8548,0.312414,0.992867,NS
S100A16,-0.6287,0.8016,0.313364,0.992867,NS
UTRN,-0.509,0.9868,0.314574,0.992867,NS
MRPS22,-0.5291,0.943,0.317003,0.992867,NS
TRMT10C,-0.5627,0.8854,0.317518,0.992867,NS
CLTA,-1.0273,0.483,0.318992,0.992867,NS
PHPT1,-0.4782,1.0353,0.319871,0.992867,NS
MOGS,0.4606,1.0719,0.32087,0.992867,NS
IDI1,-0.5473,0.8975,0.322698,0.992867,NS
JUP,0.4881,1.0044,0.323427,0.992867,NS
HMGCL,-0.4496,1.088,0.324197,0.992867,NS
MLIP,0.7243,0.67490000000000006,0.324485,0.992867,NS
LRRC20,-0.5363,0.9111,0.324619,0.992867,NS
PDIA3,0.5554,0.8783,0.325179,0.992867,NS
ISOC1,-0.4375,1.11,0.326921,0.992867,NS
CLTC,0.4756,1.0144,0.329252,0.992867,NS
COPA,0.4031,1.1941,0.330101,0.992867,NS
MAPK12,-0.5177,0.9287,0.33055,0.992867,NS
FBL,-0.7477,0.6408,0.331796,0.992867,NS
RPS11,-0.4874,0.9827,0.331925,0.992867,NS
ACACB,0.5155,0.9278,0.332448,0.992867,NS
ADSS1,-0.4886,0.9768,0.333218,0.992867,NS
CAPZB,0.5101,0.9352,0.333414,0.992867,NS
EPS15,0.4597,1.0318,0.335486,0.992867,NS
GAA,0.3881,1.2167,0.337167,0.992867,NS
PALLD,-0.715,0.657,0.339062,0.992867,NS
TIGAR,-0.5187,0.9049,0.339352,0.992867,NS
ADPRH,-0.6444,0.7275,0.339776,0.992867,NS
ERO1A,-0.5657,0.8279,0.340158,0.992867,NS
DYNC1I2,0.3542,1.3203,0.340635,0.992867,NS
NUDT19,0.6019,0.7681,0.344896,0.992867,NS
ERAP1,-0.4124,1.1173,0.346138,0.992867,NS
SPARC,0.6119,0.7513,0.346977,0.992867,NS
TNPO1,0.4981,0.9217,0.34745,0.992867,NS
TYMP,0.6171,0.7425,0.348193,0.992867,NS
TXNRD2,-0.4664,0.971,0.352467,0.992867,NS
CAPZA1,0.549,0.8245,0.352698,0.992867,NS
LEMD2,0.5809,0.7751,0.354615,0.992867,NS
RPL23A,0.4031,1.1099,0.356898,0.992867,NS
ENOPH1,-0.3781,1.1794,0.358114,0.992867,NS
CA14,-0.4941,0.9011,0.358696,0.992867,NS
MAP3K20,-0.5201,0.854,0.359617,0.992867,NS
PCBD2,-0.4656,0.9455,0.362891,0.992867,NS
WDFY1,0.4686,0.9337,0.365157,0.992867,NS
ACTN4,0.6473,0.6741,0.366123,0.992867,NS
PPIB,0.5403,0.8059,0.366962,0.992867,NS
TOMM40,-0.512,0.8469,0.368449,0.992867,NS
RPL7,0.4013,1.0758,0.37004,0.992867,NS
HSPA1L,-0.4694,0.9191,0.370328,0.992867,NS
HEBP2,-0.3285,1.3054,0.372516,0.992867,NS
HLA-A,0.4299,0.9963,0.37298,0.992867,NS
CNN3,0.6358,0.6721,0.37382,0.992867,NS
APEX1,0.344,1.237,0.375414,0.992867,NS
HBG2,0.9474,0.4472,0.376977,0.992867,NS
MXRA7,0.5606,0.7551,0.377336,0.992867,NS
