uniprot_id,gene,protein,description
Q9NZ08,ERAP1,ERAP1_HUMAN,Endoplasmic reticulum aminopeptidase 1
Q9NZ45,CISD1,CISD1_HUMAN,CDGSH iron-sulfur domain-containing protein 1
Q9NZA1,CLIC5,CLIC5_HUMAN,Chloride intracellular channel protein 5
Q9NZB2,FAM120A,F120A_HUMAN,Constitutive coactivator of PPAR-gamma-like protein 1
Q9NZJ6,COQ3,COQ3_HUMAN,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
Q9NZJ7,MTCH1,MTCH1_HUMAN,Mitochondrial carrier homolog 1
Q9NZJ9,NUDT4,NUDT4_HUMAN,Diphosphoinositol polyphosphate phosphohydrolase 2
Q9NZL4,HSPBP1,HPBP1_HUMAN,Hsp70-binding protein 1
Q9NZL9,MAT2B,MAT2B_HUMAN,Methionine adenosyltransferase 2 subunit beta
Q9NZM1,MYOF,MYOF_HUMAN,Myoferlin
Q9NZN4,EHD2,EHD2_HUMAN,EH domain-containing protein 2
Q9NZQ9,TMOD4,TMOD4_HUMAN,Tropomodulin-4
Q9NZU5,LMCD1,LMCD1_HUMAN,LIM and cysteine-rich domains protein 1
Q9NZZ3,CHMP5,CHMP5_HUMAN,Charged multivesicular body protein 5
Q9P003,CNIH4,CNIH4_HUMAN,Protein cornichon homolog 4
Q9P015,MRPL15,RM15_HUMAN,"39S ribosomal protein L15, mitochondrial"
Q9P032,NDUFAF4,NDUF4_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4
Q9P0J0,NDUFA13,NDUAD_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
Q9P0J1,PDP1,PDP1_HUMAN,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"
Q9P0L0,VAPA,VAPA_HUMAN,Vesicle-associated membrane protein-associated protein A
Q9P0P0,RNF181,RN181_HUMAN,E3 ubiquitin-protein ligase RNF181
Q9P0P8,MTRES1,MRES1_HUMAN,Mitochondrial transcription rescue factor 1
Q9P0U1,TOMM7,TOM7_HUMAN,Mitochondrial import receptor subunit TOM7 homolog
Q9P0V9,SEPTIN10,SEP10_HUMAN,Septin-10
Q9P2B2,PTGFRN,FPRP_HUMAN,Prostaglandin F2 receptor negative regulator
Q9P2E9,RRBP1,RRBP1_HUMAN,Ribosome-binding protein 1
Q9P2J5,LARS1,SYLC_HUMAN,"Leucine--tRNA ligase, cytoplasmic"
Q9P2R7,SUCLA2,SUCB1_HUMAN,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"
Q9P2T1,GMPR2,GMPR2_HUMAN,GMP reductase 2
Q9UBB4,ATXN10,ATX10_HUMAN,Ataxin-10
Q9UBC2,EPS15L1,EP15R_HUMAN,Epidermal growth factor receptor substrate 15-like 1
Q9UBE0,SAE1,SAE1_HUMAN,SUMO-activating enzyme subunit 1
Q9UBF6,RNF7,RBX2_HUMAN,RING-box protein 2
Q9UBF9,MYOT,MYOTI_HUMAN,Myotilin
Q9UBG0,MRC2,MRC2_HUMAN,C-type mannose receptor 2
Q9UBI6,GNG12,GBG12_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12
Q9UBQ0,VPS29,VPS29_HUMAN,Vacuolar protein sorting-associated protein 29
Q9UBQ5,EIF3K,EIF3K_HUMAN,Eukaryotic translation initiation factor 3 subunit K
Q9UBQ7,GRHPR,GRHPR_HUMAN,Glyoxylate reductase/hydroxypyruvate reductase
Q9UBR2,CTSZ,CATZ_HUMAN,Cathepsin Z
Q9UBT2,UBA2,SAE2_HUMAN,SUMO-activating enzyme subunit 2
Q9UBW8,COPS7A,CSN7A_HUMAN,COP9 signalosome complex subunit 7a
Q9UBX5,FBLN5,FBLN5_HUMAN,Fibulin-5
Q9UBY9,HSPB7,HSPB7_HUMAN,Heat shock protein beta-7
Q9UDT6,CLIP2,CLIP2_HUMAN,CAP-Gly domain-containing linker protein 2
Q9UDW1,UQCR10,QCR9_HUMAN,Cytochrome b-c1 complex subunit 9
Q9UDY4,DNAJB4,DNJB4_HUMAN,DnaJ homolog subfamily B member 4
Q9UEY8,ADD3,ADDG_HUMAN,Gamma-adducin
Q9UFN0,NIPSNAP3A,NPS3A_HUMAN,Protein NipSnap homolog 3A
Q9UG63,ABCF2,ABCF2_HUMAN,ATP-binding cassette sub-family F member 2
Q9UGM6,WARS2,SYWM_HUMAN,"Tryptophan--tRNA ligase, mitochondrial"
Q9UHA4,LAMTOR3,LTOR3_HUMAN,Ragulator complex protein LAMTOR3
Q9UHD1,CHORDC1,CHRD1_HUMAN,Cysteine and histidine-rich domain-containing protein 1
Q9UHD8,SEPTIN9,SEPT9_HUMAN,Septin-9
Q9UHG3,PCYOX1,PCYOX_HUMAN,Prenylcysteine oxidase 1
Q9UHL4,DPP7,DPP2_HUMAN,Dipeptidyl peptidase 2
Q9UHP9,SMPX,SMPX_HUMAN,Small muscular protein
Q9UHQ4,BCAP29,BAP29_HUMAN,B-cell receptor-associated protein 29
Q9UHQ9,CYB5R1,NB5R1_HUMAN,NADH-cytochrome b5 reductase 1
Q9UHV9,PFDN2,PFD2_HUMAN,Prefoldin subunit 2
