contrast,gene,average_intensity,logFC,sig_pi,direction
Training_PLA,TPPP,16.1439242636659,0.320125526397238,0,NS
Training_PLA,DHRS4,16.2081126519358,-0.0320511355667854,0,NS
Training_PLA,TSTD1,16.2190996506378,0.228538966297158,0,NS
Training_PLA,COPG1,16.0835684911622,0.123369905977761,0,NS
Training_PLA,RABGGTA,16.2568762503412,0.233528148211363,0,NS
Training_PLA,DUSP28,16.1828158923825,0.436168421180241,0,NS
Training_PLA,MARCKS,15.8467614128,0.341169729145156,0,NS
Training_PLA,NMT1,16.2581983416872,-0.16507774511626,0,NS
Training_PLA,PPID,16.1096142189257,-0.33723146565911,0,NS
Training_PLA,CNPY2,16.0594294270639,0.376820865298789,0,NS
Training_PLA,HDGFL2,16.0942733662899,0.25895654772328,0,NS
Training_PLA,NUBPL,16.2800126341127,-0.152070574631789,0,NS
Training_PLA,RPA2,16.3138030018025,0.199634006355598,0,NS
Training_PLA,IGFBP5,16.0913648050804,-0.223706782871307,0,NS
Training_PLA,PDPR,16.1984590906885,0.37104495349992,0,NS
Training_PLA,UBE2O,16.202634528075,0.0521912355328169,0,NS
